"Region Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
US48,"4/1/2023 12 a.m. EDT",411641.8,406793.16,406866.8,-653
US48,"4/1/2023 1 a.m. EDT",394144.64,390182,389005.64,-429
US48,"4/1/2023 2 a.m. EDT",378492.97,373217.25,372885.97,-42
US48,"4/1/2023 3 a.m. EDT",366683.21,362198.58,360474.21,-187
US48,"4/1/2023 4 a.m. EDT",358815.8,355034.27,353475.8,242
US48,"4/1/2023 5 a.m. EDT",355697.84,353323.61,349825.84,-172
US48,"4/1/2023 6 a.m. EDT",357234.03,356742.86,351193.03,-203
US48,"4/1/2023 7 a.m. EDT",362833.82,364924.7,357395.82,198
US48,"4/1/2023 8 a.m. EDT",372815.85,377190.22,367716.85,150
US48,"4/1/2023 9 a.m. EDT",386580.93,390499.68,381894.93,513
US48,"4/1/2023 10 a.m. EDT",403124.39,403117.27,399371.39,676
US48,"4/1/2023 11 a.m. EDT",414973.65,410618.48,410726.64,644
US48,"4/1/2023 12 p.m. EDT",420529.17,414646.67,415601.17,825
US48,"4/1/2023 1 p.m. EDT",419785.97,414721.99,415485.97,2091
US48,"4/1/2023 2 p.m. EDT",417079.14,412800.59,413379.14,2413
US48,"4/1/2023 3 p.m. EDT",414595.82,411917.72,410841.82,2045
US48,"4/1/2023 4 p.m. EDT",413877.59,412541.14,410195.59,1343
US48,"4/1/2023 5 p.m. EDT",415255.91,414518.03,411856.91,1252
US48,"4/1/2023 6 p.m. EDT",418741.78,418604.15,415014.78,1013
US48,"4/1/2023 7 p.m. EDT",420944.92,421476.6,417047.92,-284
US48,"4/1/2023 8 p.m. EDT",420643.41,422704.78,417234.4,-599
US48,"4/1/2023 9 p.m. EDT",422048.31,423612.39,419297.31,-1041
US48,"4/1/2023 10 p.m. EDT",420696.31,421168.87,416769.31,-1006
US48,"4/1/2023 11 p.m. EDT",412389.96,411887.3,408272.96,-144
US48,"4/2/2023 12 a.m. EDT",400143.54,397453.02,395105.54,271
