"Region Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
US48,"8/1/2023 12 a.m. EDT",557575.36,555521.78,552414.36,91
US48,"8/1/2023 1 a.m. EDT",523479.01,518485.64,519368.01,1692
US48,"8/1/2023 2 a.m. EDT",494834.28,488037.98,492513.28,4030
US48,"8/1/2023 3 a.m. EDT",471730.07,464336.49,468761.07,3650
US48,"8/1/2023 4 a.m. EDT",455011.07,448529.6,451605.07,2453
US48,"8/1/2023 5 a.m. EDT",445811.89,441787.22,442394.89,1911
US48,"8/1/2023 6 a.m. EDT",445714.79,444869.58,443751.79,2433
US48,"8/1/2023 7 a.m. EDT",455555.45,455650.41,452198.44,1759
US48,"8/1/2023 8 a.m. EDT",466171.57,470701.87,463830.57,1569
US48,"8/1/2023 9 a.m. EDT",482595.03,489063.18,480528.03,644
US48,"8/1/2023 10 a.m. EDT",502697.3,512579.59,499777.3,-605
US48,"8/1/2023 11 a.m. EDT",530096.42,541086.01,526939.42,-1154
US48,"8/1/2023 12 p.m. EDT",560304.39,571093.68,557060.39,-1425
US48,"8/1/2023 1 p.m. EDT",588978.53,600133.18,585736.53,-1479
US48,"8/1/2023 2 p.m. EDT",615327.87,626845.15,611267.87,-1919
US48,"8/1/2023 3 p.m. EDT",636700.41,647987.77,632406.41,-2766
US48,"8/1/2023 4 p.m. EDT",652345.92,665092.82,648525.92,-2801
US48,"8/1/2023 5 p.m. EDT",665248.71,676729.96,661789.71,-3650
US48,"8/1/2023 6 p.m. EDT",671953.69,681641.63,668132.69,-3839
US48,"8/1/2023 7 p.m. EDT",669475.32,677614.14,666228.32,-2990
US48,"8/1/2023 8 p.m. EDT",658465.86,664277.28,655613.86,-2180
US48,"8/1/2023 9 p.m. EDT",642639.96,645284.76,638326.96,-2711
US48,"8/1/2023 10 p.m. EDT",623050.29,620522.7,617280.29,-2142
US48,"8/1/2023 11 p.m. EDT",592923.04,587430.11,586647.04,-1322
US48,"8/2/2023 12 a.m. EDT",556607.86,550758.13,551515.86,21
US48,"8/2/2023 1 a.m. EDT",523640.76,516027.31,518215.75,-17
US48,"8/2/2023 2 a.m. EDT",495730.69,484595.27,491953.68,2414
US48,"8/2/2023 3 a.m. EDT",471784.89,461477.32,468075.89,2811
US48,"8/2/2023 4 a.m. EDT",454513.69,445537.39,451351.69,3138
US48,"8/2/2023 5 a.m. EDT",444576.52,439000.79,441458.52,2763
US48,"8/2/2023 6 a.m. EDT",445418.27,442444.18,442380.27,2080
US48,"8/2/2023 7 a.m. EDT",454206.98,453956.95,451453.98,1731
US48,"8/2/2023 8 a.m. EDT",465285.81,469030.81,462110.8,940
US48,"8/2/2023 9 a.m. EDT",480715.92,487610.81,478661.92,667
US48,"8/2/2023 10 a.m. EDT",502169.76,511815.41,499577.75,-24
US48,"8/2/2023 11 a.m. EDT",529691.66,541440.25,528417.66,-552
US48,"8/2/2023 12 p.m. EDT",559831.84,571172.42,557895.83,-680
US48,"8/2/2023 1 p.m. EDT",588507.06,599399.47,585389.06,-1093
US48,"8/2/2023 2 p.m. EDT",614199.11,625464.69,610832.11,-1650
US48,"8/2/2023 3 p.m. EDT",635563.59,647419.6,632394.59,-1948
US48,"8/2/2023 4 p.m. EDT",651272.93,664894.38,647565.93,-1885
US48,"8/2/2023 5 p.m. EDT",662383.93,676534.61,659174.93,-2516
US48,"8/2/2023 6 p.m. EDT",668853.7,680832.56,665377.69,-3174
US48,"8/2/2023 7 p.m. EDT",667711.39,676888.17,664563.39,-2657
US48,"8/2/2023 8 p.m. EDT",657310.74,662608.9,653660.74,-2343
US48,"8/2/2023 9 p.m. EDT",641521.66,644926.16,638084.66,-1682
US48,"8/2/2023 10 p.m. EDT",622089.42,620993.12,616578.42,-1588
US48,"8/2/2023 11 p.m. EDT",593947.94,587953.55,588163.94,-1048
US48,"8/3/2023 12 a.m. EDT",559363.99,552440.94,553201.98,-776
US48,"8/3/2023 1 a.m. EDT",525967.64,515640.37,520498.64,461
US48,"8/3/2023 2 a.m. EDT",499507.08,487426.1,494646.08,1709
US48,"8/3/2023 3 a.m. EDT",476576.05,464757.92,472567.04,2452
US48,"8/3/2023 4 a.m. EDT",459562.54,449648.74,455833.54,2326
US48,"8/3/2023 5 a.m. EDT",451722.8,443640.03,447815.8,1883
US48,"8/3/2023 6 a.m. EDT",452926.76,447543.2,449450.76,2086
US48,"8/3/2023 7 a.m. EDT",462204.59,459673.28,459158.59,2136
US48,"8/3/2023 8 a.m. EDT",473286.73,476593.08,470601.72,1593
US48,"8/3/2023 9 a.m. EDT",489092.48,495911.3,485855.47,363
US48,"8/3/2023 10 a.m. EDT",511423.52,520195.61,507882.52,-860
US48,"8/3/2023 11 a.m. EDT",537816.81,548632.42,535232.81,-1385
US48,"8/3/2023 12 p.m. EDT",567351.79,576810.87,564078.79,-1702
US48,"8/3/2023 1 p.m. EDT",594370.56,604721.52,589492.56,-2081
US48,"8/3/2023 2 p.m. EDT",618354.63,630082.45,613507.63,-2873
US48,"8/3/2023 3 p.m. EDT",637603.01,649712.63,632846.01,-3050
US48,"8/3/2023 4 p.m. EDT",649561.57,664766.99,644566.57,-3631
US48,"8/3/2023 5 p.m. EDT",656977.25,674489.16,652616.24,-4199
US48,"8/3/2023 6 p.m. EDT",660754.46,676777.09,656350.46,-4402
US48,"8/3/2023 7 p.m. EDT",658203.77,671123.07,654093.77,-4528
US48,"8/3/2023 8 p.m. EDT",649309.3,658220.67,645391.3,-3931
US48,"8/3/2023 9 p.m. EDT",637995.18,643071.44,634451.18,-3035
US48,"8/3/2023 10 p.m. EDT",621033.03,620445.32,615831.03,-2890
US48,"8/3/2023 11 p.m. EDT",594569.41,589132.6,588985.41,-1549
US48,"8/4/2023 12 a.m. EDT",561353.51,554090.39,555134.51,-1382
US48,"8/4/2023 1 a.m. EDT",529762.4,517727.97,523473.4,-349
US48,"8/4/2023 2 a.m. EDT",503701.17,490252.93,499319.17,1589
US48,"8/4/2023 3 a.m. EDT",482183,467991.79,477694,2432
US48,"8/4/2023 4 a.m. EDT",465676.74,452593.63,461148.74,1848
US48,"8/4/2023 5 a.m. EDT",456677.93,445958.58,452518.93,2213
US48,"8/4/2023 6 a.m. EDT",456782.3,448945.64,452703.3,1903
US48,"8/4/2023 7 a.m. EDT",465875.57,460190.39,461669.57,1128
US48,"8/4/2023 8 a.m. EDT",477047.87,476005.45,472702.87,445
US48,"8/4/2023 9 a.m. EDT",492653.41,496622.65,489184.41,80
US48,"8/4/2023 10 a.m. EDT",515176.96,521492.75,510208.96,-2201
US48,"8/4/2023 11 a.m. EDT",542667.28,548917.39,539624.28,-1856
US48,"8/4/2023 12 p.m. EDT",570582,576406.05,566653,-2272
US48,"8/4/2023 1 p.m. EDT",596649.41,601659.29,591484.41,-2554
US48,"8/4/2023 2 p.m. EDT",618268.49,624560.31,612507.49,-2622
US48,"8/4/2023 3 p.m. EDT",635312.64,644152.89,629949.64,-3083
US48,"8/4/2023 4 p.m. EDT",648466.8,658689.48,643765.8,-2476
US48,"8/4/2023 5 p.m. EDT",659705.76,668685.23,655862.76,-2624
US48,"8/4/2023 6 p.m. EDT",666078.98,671179.1,661073.98,-4173
US48,"8/4/2023 7 p.m. EDT",663090.29,664859.87,659424.29,-3618
US48,"8/4/2023 8 p.m. EDT",651603.21,650542.2,648357.21,-2947
US48,"8/4/2023 9 p.m. EDT",636142.16,633701.27,633019.16,-2248
US48,"8/4/2023 10 p.m. EDT",618028.2,611541.98,614001.2,-1514
US48,"8/4/2023 11 p.m. EDT",591952.48,581521.48,586252.48,-1681
US48,"8/5/2023 12 a.m. EDT",559551.87,547705.5,553646.87,-1536
US48,"8/5/2023 1 a.m. EDT",528430.62,516101,523083.62,-309
US48,"8/5/2023 2 a.m. EDT",501417.85,488675.2,497450.85,1582
US48,"8/5/2023 3 a.m. EDT",477159.7,465282.3,473456.7,1816
US48,"8/5/2023 4 a.m. EDT",459499.62,447420.67,455617.62,1626
US48,"8/5/2023 5 a.m. EDT",446609.43,436577.28,442752.43,1335
US48,"8/5/2023 6 a.m. EDT",439690.78,430431.56,435563.78,831
US48,"8/5/2023 7 a.m. EDT",438501.6,430366.27,434407.6,761
US48,"8/5/2023 8 a.m. EDT",441013.12,437968.31,438005.12,1077
US48,"8/5/2023 9 a.m. EDT",455927.04,456402.21,453317.04,762
US48,"8/5/2023 10 a.m. EDT",479258.16,483444.64,475846.16,-380
US48,"8/5/2023 11 a.m. EDT",508176.08,515024.34,506204.08,-717
US48,"8/5/2023 12 p.m. EDT",539649.61,547684.08,538108.61,-1336
US48,"8/5/2023 1 p.m. EDT",569032.19,575490.02,564986.19,-1679
US48,"8/5/2023 2 p.m. EDT",591386.46,599791.81,587990.46,-1246
US48,"8/5/2023 3 p.m. EDT",610266.54,620737.24,606879.54,-1716
US48,"8/5/2023 4 p.m. EDT",625450.84,637869.36,622053.84,-2376
US48,"8/5/2023 5 p.m. EDT",637979.91,650381.6,635414.91,-2804
US48,"8/5/2023 6 p.m. EDT",645397.71,655743.55,642636.71,-3417
US48,"8/5/2023 7 p.m. EDT",645454.81,652639.56,642418.81,-3625
US48,"8/5/2023 8 p.m. EDT",637366.89,640012.53,634159.89,-3704
US48,"8/5/2023 9 p.m. EDT",623076.16,624709.19,619879.16,-2926
US48,"8/5/2023 10 p.m. EDT",604987.72,604420.23,600375.72,-2974
US48,"8/5/2023 11 p.m. EDT",579304.2,574876.81,573009.2,-2714
US48,"8/6/2023 12 a.m. EDT",549616.48,542455.51,543776.48,-1849
US48,"8/6/2023 1 a.m. EDT",518540.57,512404.39,513155.57,-712
US48,"8/6/2023 2 a.m. EDT",491480.3,484912.51,487789.3,1545
US48,"8/6/2023 3 a.m. EDT",469349.14,462238.98,465972.14,1703
US48,"8/6/2023 4 a.m. EDT",450562.45,445204.29,447279.45,1431
US48,"8/6/2023 5 a.m. EDT",437685.97,433333.22,433623.97,965
US48,"8/6/2023 6 a.m. EDT",429297.51,425952.29,425361.51,870
US48,"8/6/2023 7 a.m. EDT",426195.32,423522.34,421557.32,180
US48,"8/6/2023 8 a.m. EDT",427289.22,429007.21,423547.22,847
US48,"8/6/2023 9 a.m. EDT",441554.23,445638.42,438467.23,849
US48,"8/6/2023 10 a.m. EDT",466975.14,472626.85,464154.14,71
US48,"8/6/2023 11 a.m. EDT",495516.49,504881.84,495145.49,251
US48,"8/6/2023 12 p.m. EDT",526569.43,535935.89,524902.43,173
US48,"8/6/2023 1 p.m. EDT",555972.55,565243.79,553165.55,-230
US48,"8/6/2023 2 p.m. EDT",579788.22,591112.89,578232.22,-72
US48,"8/6/2023 3 p.m. EDT",598917.92,612400.69,597217.92,-222
US48,"8/6/2023 4 p.m. EDT",614059.02,631510.16,612824.02,67
US48,"8/6/2023 5 p.m. EDT",625865.12,644783.3,624309.12,-1472
US48,"8/6/2023 6 p.m. EDT",636340.19,651754.85,632956.19,-3362
US48,"8/6/2023 7 p.m. EDT",639794.11,651962.09,635252.11,-4486
US48,"8/6/2023 8 p.m. EDT",632913.25,643266.59,628662.25,-3225
US48,"8/6/2023 9 p.m. EDT",620065.6,630602.68,616300.6,-2506
US48,"8/6/2023 10 p.m. EDT",604414.48,610671.21,599028.48,-2471
US48,"8/6/2023 11 p.m. EDT",580848.01,580256.85,573961,-2089
US48,"8/7/2023 12 a.m. EDT",550456.9,546022.66,543701.9,-841
US48,"8/7/2023 1 a.m. EDT",521304.39,514749.67,515174.39,82
US48,"8/7/2023 2 a.m. EDT",496833.73,481683.26,491184.73,1472
US48,"8/7/2023 3 a.m. EDT",474881.37,461619.72,469637.37,1695
US48,"8/7/2023 4 a.m. EDT",460432.9,449588.26,456068.89,1816
US48,"8/7/2023 5 a.m. EDT",453544.86,445964.19,449427.86,1879
US48,"8/7/2023 6 a.m. EDT",455977.04,451927.42,451923.04,1607
US48,"8/7/2023 7 a.m. EDT",467599.04,465764.16,464189.04,1310
US48,"8/7/2023 8 a.m. EDT",480988.21,482662.34,477092.21,432
US48,"8/7/2023 9 a.m. EDT",497751.12,502224.77,494853.12,257
US48,"8/7/2023 10 a.m. EDT",521523.36,527095.19,517623.36,-1468
US48,"8/7/2023 11 a.m. EDT",549807.07,555441,547183.07,-1873
US48,"8/7/2023 12 p.m. EDT",579959.11,583951.01,576269.1,-2793
US48,"8/7/2023 1 p.m. EDT",607539.09,610535.36,601943.08,-3532
US48,"8/7/2023 2 p.m. EDT",630616.02,632791.96,624766.02,-3411
US48,"8/7/2023 3 p.m. EDT",648366.63,649744.77,643414.62,-5132
US48,"8/7/2023 4 p.m. EDT",658744.46,661876.66,653893.46,-3601
US48,"8/7/2023 5 p.m. EDT",666466.98,670442.08,662058.98,-3896
US48,"8/7/2023 6 p.m. EDT",667936.5,672731.56,662858.5,-5299
US48,"8/7/2023 7 p.m. EDT",662277.61,667949.84,657397.61,-4756
US48,"8/7/2023 8 p.m. EDT",651649.64,656360.21,645847.64,-5280
US48,"8/7/2023 9 p.m. EDT",636253.86,640967.61,629881.86,-5404
US48,"8/7/2023 10 p.m. EDT",617628.59,618346.42,610111.59,-4919
US48,"8/7/2023 11 p.m. EDT",589467.43,586418.35,579743.43,-4778
US48,"8/8/2023 12 a.m. EDT",556372.39,551085.49,546909.39,-3774
US48,"8/8/2023 1 a.m. EDT",523806.55,517702.66,515872.55,-1608
US48,"8/8/2023 2 a.m. EDT",498177.57,485223.43,492047.57,811
US48,"8/8/2023 3 a.m. EDT",475578.1,463939.44,469887.1,1217
US48,"8/8/2023 4 a.m. EDT",459425.84,449645.37,454542.84,1375
US48,"8/8/2023 5 a.m. EDT",451965.02,444576.76,447212.02,1284
US48,"8/8/2023 6 a.m. EDT",454046.11,449521.6,448654.11,218
US48,"8/8/2023 7 a.m. EDT",465027.86,462213.75,460595.86,-32
US48,"8/8/2023 8 a.m. EDT",479854.2,478497.27,475087.2,-483
US48,"8/8/2023 9 a.m. EDT",495127.73,496667.17,491822.73,62
US48,"8/8/2023 10 a.m. EDT",513983.46,519108.58,510353.46,-963
US48,"8/8/2023 11 a.m. EDT",539096.55,545078.16,536864.55,-1506
US48,"8/8/2023 12 p.m. EDT",565959.22,570801.72,563203.22,-1411
