"Region Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
US48,"12/1/2023 12 a.m. EST",447023.84,439785.1,449585.83,-898
US48,"12/1/2023 1 a.m. EST",430161.35,422824.9,432116.34,-1358
US48,"12/1/2023 2 a.m. EST",417005.34,409697.9,417873.32,-1809
US48,"12/1/2023 3 a.m. EST",408145.66,402130.3,408224.65,-1804
US48,"12/1/2023 4 a.m. EST",403801.58,403465.8,405353.57,0
US48,"12/1/2023 5 a.m. EST",404695.73,408814.4,407597.72,798
US48,"12/1/2023 6 a.m. EST",413532.09,423738,415645.08,262
US48,"12/1/2023 7 a.m. EST",435845.23,444108.8,436547.22,-1019
US48,"12/1/2023 8 a.m. EST",457706.02,463382.3,457433.01,-2000
US48,"12/1/2023 9 a.m. EST",466538.08,472406.8,467146.07,-1444
US48,"12/1/2023 10 a.m. EST",470478.35,475692,471933.35,-515
US48,"12/1/2023 11 a.m. EST",473539.88,474508.5,475860.87,-189
US48,"12/1/2023 12 p.m. EST",473606.86,470348.8,474455.85,-561
US48,"12/1/2023 1 p.m. EST",471959.18,465345.2,473377.17,-67
US48,"12/1/2023 2 p.m. EST",468749.5,461369.2,470803.49,34
US48,"12/1/2023 3 p.m. EST",465569.97,459146.5,467874.96,579
US48,"12/1/2023 4 p.m. EST",464386.07,459436.4,467067.06,1451
US48,"12/1/2023 5 p.m. EST",466703.79,464701.1,469191.78,1346
US48,"12/1/2023 6 p.m. EST",473862.88,472965.3,475385.87,908
US48,"12/1/2023 7 p.m. EST",475663.76,478444.7,479700.75,1882
US48,"12/1/2023 8 p.m. EST",472242.49,478665.9,477914.48,2787
US48,"12/1/2023 9 p.m. EST",466054.99,473012.3,470359.98,2533
US48,"12/1/2023 10 p.m. EST",456988.93,460067.6,461177.92,2672
US48,"12/1/2023 11 p.m. EST",443298.11,444585.2,447317.1,2818
US48,"12/2/2023 12 a.m. EST",426370.46,426852.9,429731.45,2656
US48,"12/2/2023 1 a.m. EST",409803.84,408927.7,414367.83,3270
US48,"12/2/2023 2 a.m. EST",397121.96,394966.8,402693.96,4306
US48,"12/2/2023 3 a.m. EST",388609,385453.1,393068.99,4185
US48,"12/2/2023 4 a.m. EST",383101,379520.5,387447.99,3642
US48,"12/2/2023 5 a.m. EST",380923.42,378648.2,385323.41,3632
US48,"12/2/2023 6 a.m. EST",383786.54,384869.6,388119.53,3796
US48,"12/2/2023 7 a.m. EST",389069.25,393908.9,393183.25,3973
US48,"12/2/2023 8 a.m. EST",400788.95,406401.1,404793.95,3932
US48,"12/2/2023 9 a.m. EST",414164.04,420006.2,418042.03,4036
US48,"12/2/2023 10 a.m. EST",428144.78,430713.9,431411.77,3955
US48,"12/2/2023 11 a.m. EST",435743.13,434985.7,438484.12,2833
US48,"12/2/2023 12 p.m. EST",438328.58,435112.6,439989.58,2769
US48,"12/2/2023 1 p.m. EST",436878.29,432125.2,439027.29,2953
US48,"12/2/2023 2 p.m. EST",434374.85,429456.4,437787.85,3227
US48,"12/2/2023 3 p.m. EST",432365.23,426876.2,435716.23,3399
US48,"12/2/2023 4 p.m. EST",429694.8,427683.9,434157.8,3684
US48,"12/2/2023 5 p.m. EST",433674.74,432055.9,436673.74,2008
US48,"12/2/2023 6 p.m. EST",443288.88,440670.9,444846.88,560
US48,"12/2/2023 7 p.m. EST",447315.48,447462.7,451237.48,1460
US48,"12/2/2023 8 p.m. EST",447170.69,449201.8,452858.69,3348
US48,"12/2/2023 9 p.m. EST",444367.97,445134.2,451586.96,4036
US48,"12/2/2023 10 p.m. EST",436900.21,435692.5,443496.21,4374
