"Region Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
US48,"2/1/2023 12 a.m. EST",498079.5,487832.73,492160.5,-4903
US48,"2/1/2023 1 a.m. EST",482250.36,472014.92,476704.36,-4343
US48,"2/1/2023 2 a.m. EST",471849.2,463039.42,465930.2,-4300
US48,"2/1/2023 3 a.m. EST",464919.37,457832.63,459163.37,-4171
US48,"2/1/2023 4 a.m. EST",461247.1,458068.24,455339.1,-5051
US48,"2/1/2023 5 a.m. EST",463981.14,465266.35,458517.14,-4970
US48,"2/1/2023 6 a.m. EST",475027.96,483049.76,469565.96,-4311
US48,"2/1/2023 7 a.m. EST",499752.42,508321.16,495676.42,-3483
US48,"2/1/2023 8 a.m. EST",523266.38,529322.15,519985.38,-3919
US48,"2/1/2023 9 a.m. EST",535761.43,539085.56,533632.43,-3834
US48,"2/1/2023 10 a.m. EST",540022.19,539665.39,537555.19,-4720
US48,"2/1/2023 11 a.m. EST",538388.44,536519.01,534491.44,-4700
US48,"2/1/2023 12 p.m. EST",533495.33,528677.14,527839.33,-4054
US48,"2/1/2023 1 p.m. EST",526187.31,519538.5,520826.31,-3062
US48,"2/1/2023 2 p.m. EST",518450.6,511132.86,513574.6,-3678
US48,"2/1/2023 3 p.m. EST",513473.48,505058.04,508567.48,-3884
US48,"2/1/2023 4 p.m. EST",511063.69,503949.32,506782.69,-3476
US48,"2/1/2023 5 p.m. EST",514216.7,510568.7,511248.7,-2458
US48,"2/1/2023 6 p.m. EST",525005.74,520371.64,523215.74,-2379
US48,"2/1/2023 7 p.m. EST",538527.4,532970.95,536115.4,-2870
US48,"2/1/2023 8 p.m. EST",543683.62,540338.9,541351.62,-3886
US48,"2/1/2023 9 p.m. EST",542446.58,539846.5,540536.58,-3632
US48,"2/1/2023 10 p.m. EST",532967.72,527984.84,529034.72,-3597
US48,"2/1/2023 11 p.m. EST",516063.66,509707.36,510730.66,-3635
US48,"2/2/2023 12 a.m. EST",495703.55,489767.93,490429.55,-3130
US48,"2/2/2023 1 a.m. EST",480561.28,475105.01,474833.28,-3572
US48,"2/2/2023 2 a.m. EST",469304.37,464804.67,464032.36,-2601
