"Region Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
US48,"1/1/2023 12 a.m. EST",396386.7901,394620.75,392944.7901,-106
US48,"1/1/2023 1 a.m. EST",385491.47,379980.29,381527.47,-70
US48,"1/1/2023 2 a.m. EST",376078.9201,371067.31,372216.9201,-206
US48,"1/1/2023 3 a.m. EST",368184.53,360739.86,363539.53,-706
US48,"1/1/2023 4 a.m. EST",361507.32,361077.13,356117.31,-2091
US48,"1/1/2023 5 a.m. EST",357810.7801,358729.96,352960.7801,-2031
US48,"1/1/2023 6 a.m. EST",357134.01,357517,352504.01,-1714
US48,"1/1/2023 7 a.m. EST",360574.56,362956.91,355680.56,-2172
US48,"1/1/2023 8 a.m. EST",366989.9401,370587.96,362782.9401,-1765
US48,"1/1/2023 9 a.m. EST",375144.98,378550.87,370353.98,-2688
US48,"1/1/2023 10 a.m. EST",384715.15,386677.87,379005.15,-3653
US48,"1/1/2023 11 a.m. EST",390293.5001,392145.45,384067.5001,-3561
US48,"1/1/2023 12 p.m. EST",393625.01,395681.57,387583.01,-3126
US48,"1/1/2023 1 p.m. EST",396479.8,397365.19,390552.8,-2898
US48,"1/1/2023 2 p.m. EST",396546.6401,398686.15,391569.6401,-2470
US48,"1/1/2023 3 p.m. EST",396494.15,400968.24,392351.15,-1696
US48,"1/1/2023 4 p.m. EST",397887.78,406584.4,393408.78,-1750
US48,"1/1/2023 5 p.m. EST",403471.0801,417393.71,398183.0801,-2874
US48,"1/1/2023 6 p.m. EST",414765.31,429007.55,409305.31,-2935
US48,"1/1/2023 7 p.m. EST",425240.09,437392.59,419965.09,-3818
US48,"1/1/2023 8 p.m. EST",428692.98,440351.39,423809.98,-3913
US48,"1/1/2023 9 p.m. EST",426069.8501,437330.84,422973.8401,-2987
US48,"1/1/2023 10 p.m. EST",420151.85,427309.95,414751.85,-3081
US48,"1/1/2023 11 p.m. EST",409445.19,413567.01,403729.18,-2831
US48,"1/2/2023 12 a.m. EST",396259.3501,398788.75,390414.3501,-2501
US48,"1/2/2023 1 a.m. EST",382879.37,382683.15,376724.36,-3066
US48,"1/2/2023 2 a.m. EST",371328.57,369415.93,365421.57,-2065
US48,"1/2/2023 3 a.m. EST",363259.4101,364051.12,357037.4001,-2142
US48,"1/2/2023 4 a.m. EST",359320.91,361074.5,353393.91,-2884
US48,"1/2/2023 5 a.m. EST",359799.9434,362544.88,353833.9334,-2612
US48,"1/2/2023 6 a.m. EST",364493.05,367544.72,358628.04,-2522
US48,"1/2/2023 7 a.m. EST",375800.26,380407.83,370255.26,-2716
US48,"1/2/2023 8 a.m. EST",389436.4601,396898.73,384000.4601,-2847
US48,"1/2/2023 9 a.m. EST",401826.24,410352.33,396767.24,-3319
US48,"1/2/2023 10 a.m. EST",413779.42,419993.99,408589.41,-3549
US48,"1/2/2023 11 a.m. EST",425091.5701,425957,418863.5701,-3746
US48,"1/2/2023 12 p.m. EST",430898.64,428379.13,424442.63,-3706
US48,"1/2/2023 1 p.m. EST",435383.93,428541.9,430193.93,-3406
