"Region Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
US48,"7/1/2023 12 a.m. EDT",553221.14,550675.64,548366.14,688
US48,"7/1/2023 1 a.m. EDT",519829.1,515255.78,515566.1,1544
US48,"7/1/2023 2 a.m. EDT",491350.69,479954.69,486152.69,1239
US48,"7/1/2023 3 a.m. EDT",466529.89,455505.28,461654.89,1436
US48,"7/1/2023 4 a.m. EDT",446587.51,437532.16,441624.51,721
US48,"7/1/2023 5 a.m. EDT",432236.48,425203.37,428195.48,951
US48,"7/1/2023 6 a.m. EDT",425384.23,419157.64,420630.22,485
US48,"7/1/2023 7 a.m. EDT",419934.84,417990.59,415049.84,261
US48,"7/1/2023 8 a.m. EDT",423996.79,426980.53,418821.79,-454
US48,"7/1/2023 9 a.m. EDT",439628.84,447827.8,434996.84,-464
US48,"7/1/2023 10 a.m. EDT",464165.99,476927.17,460227.99,-267
US48,"7/1/2023 11 a.m. EDT",492798.12,510589.85,490002.12,-1331
US48,"7/1/2023 12 p.m. EDT",523627.84,542902.44,520630.84,-1293
US48,"7/1/2023 1 p.m. EDT",552086.74,570817.03,548995.74,-410
US48,"7/1/2023 2 p.m. EDT",574264.62,594861.49,570942.62,-634
US48,"7/1/2023 3 p.m. EDT",589943.42,613546.79,586908.42,-628
US48,"7/1/2023 4 p.m. EDT",602672.34,629223.81,599838.34,-790
US48,"7/1/2023 5 p.m. EDT",612813.95,640952.24,611062.95,-891
US48,"7/1/2023 6 p.m. EDT",618186.77,645006.78,615370.76,-1986
US48,"7/1/2023 7 p.m. EDT",614720.1,640889.51,612376.09,-1743
US48,"7/1/2023 8 p.m. EDT",604347.5,628169.32,601971.49,-417
US48,"7/1/2023 9 p.m. EDT",589877.53,611256.48,587103.53,-866
US48,"7/1/2023 10 p.m. EDT",574763.94,589676.94,570937.94,-1167
US48,"7/1/2023 11 p.m. EDT",552969.1,562569.06,546832.1,-1728
US48,"7/2/2023 12 a.m. EDT",526599.39,531928.05,519596.39,-1511
US48,"7/2/2023 1 a.m. EDT",497732.81,501385.61,491665.81,-356
US48,"7/2/2023 2 a.m. EDT",471822.64,471004.46,467180.64,1420
US48,"7/2/2023 3 a.m. EDT",449065.43,448054.16,444162.43,1445
US48,"7/2/2023 4 a.m. EDT",432079.45,431968.39,427555.45,833
US48,"7/2/2023 5 a.m. EDT",419745.88,420288.17,415044.88,261
US48,"7/2/2023 6 a.m. EDT",413476.51,413112.88,409181.5,102
