"Region Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
US48,"6/1/2023 12 a.m. EDT",467233.58,458989.15,465139.58,-2588
US48,"6/1/2023 1 a.m. EDT",443897.91,429146.87,437301.91,-2322
US48,"6/1/2023 2 a.m. EDT",419010.83,405217.78,412614.82,-1568
US48,"6/1/2023 3 a.m. EDT",399126.59,386648.93,393698.59,-709
US48,"6/1/2023 4 a.m. EDT",385803.11,376904.19,380962.11,-1230
US48,"6/1/2023 5 a.m. EDT",380293.83,374836.25,375173.83,-1887
US48,"6/1/2023 6 a.m. EDT",383550.47,382586.56,378820.47,-1728
US48,"6/1/2023 7 a.m. EDT",394487.25,396567.27,389292.25,-2934
US48,"6/1/2023 8 a.m. EDT",410948.14,414101.24,405945.14,-3726
US48,"6/1/2023 9 a.m. EDT",430183.11,433180.37,426017.11,-3189
US48,"6/1/2023 10 a.m. EDT",451918.02,453856.67,447906.02,-2998
US48,"6/1/2023 11 a.m. EDT",474175.18,476100.66,469462.18,-4174
US48,"6/1/2023 12 p.m. EDT",496134.4,497319.16,491392.4,-4337
US48,"6/1/2023 1 p.m. EDT",517934.08,518102.27,514422.08,-3371
US48,"6/1/2023 2 p.m. EDT",537529.33,535889.02,534249.33,-3029
US48,"6/1/2023 3 p.m. EDT",553472.12,552079.48,549182.12,-3457
US48,"6/1/2023 4 p.m. EDT",566066.58,565265.49,563996.58,-2067
US48,"6/1/2023 5 p.m. EDT",576203.72,574938.94,574049.72,-1437
US48,"6/1/2023 6 p.m. EDT",579375.37,578589.47,578693.37,-528
US48,"6/1/2023 7 p.m. EDT",576679.39,573499.75,577305.39,-228
US48,"6/1/2023 8 p.m. EDT",567149.15,562756.13,566736.15,-1145
US48,"6/1/2023 9 p.m. EDT",552468.64,548086.4,550087.64,-2599
US48,"6/1/2023 10 p.m. EDT",537010.29,528631.24,532348.29,-4023
US48,"6/1/2023 11 p.m. EDT",513073.2,503794.86,507288.2,-4868
US48,"6/2/2023 12 a.m. EDT",478879.99,472291.07,476014.99,-3909
US48,"6/2/2023 1 a.m. EDT",451979.07,442655.98,443754.07,-4309
US48,"6/2/2023 2 a.m. EDT",427237.1,416825.42,418425.1,-3647
US48,"6/2/2023 3 a.m. EDT",405762.28,394535.54,398520.28,-2120
US48,"6/2/2023 4 a.m. EDT",391841.6,385155.22,385519.6,-2022
US48,"6/2/2023 5 a.m. EDT",385693.67,381940.75,378869.67,-2546
US48,"6/2/2023 6 a.m. EDT",387999.1,388329.27,380985.1,-2839
US48,"6/2/2023 7 a.m. EDT",399686.23,401120.53,392057.23,-3637
US48,"6/2/2023 8 a.m. EDT",415535.04,419462.7,409039.04,-3636
US48,"6/2/2023 9 a.m. EDT",436973,441109.87,430583,-3869
US48,"6/2/2023 10 a.m. EDT",461181.49,465853.94,454934.49,-4183
US48,"6/2/2023 11 a.m. EDT",487294.74,492539.63,483180.74,-2894
US48,"6/2/2023 12 p.m. EDT",514254.65,518109.04,508966.65,-3400
US48,"6/2/2023 1 p.m. EDT",538198.88,541022.83,533391.88,-2363
US48,"6/2/2023 2 p.m. EDT",558800.86,561493.05,554888.86,-1650
US48,"6/2/2023 3 p.m. EDT",575133.63,578431.95,571904.63,-1666
US48,"6/2/2023 4 p.m. EDT",587046.4,591954.04,584233.4,-1397
US48,"6/2/2023 5 p.m. EDT",595025.66,599315.29,591812.66,-2117
US48,"6/2/2023 6 p.m. EDT",596141.28,598708.07,593536.28,-1678
US48,"6/2/2023 7 p.m. EDT",589110.52,588236.79,587140.52,-1707
US48,"6/2/2023 8 p.m. EDT",574942.78,572220.07,573335.78,-1657
US48,"6/2/2023 9 p.m. EDT",555729.17,553404.42,553092.17,-2115
US48,"6/2/2023 10 p.m. EDT",536496.64,532742.47,531580.64,-2874
US48,"6/2/2023 11 p.m. EDT",510875.32,508586.71,505289.32,-2358
US48,"6/3/2023 12 a.m. EDT",482391.61,478946.22,476504.61,-2172
US48,"6/3/2023 1 a.m. EDT",452965.32,448648.72,446119.32,-2033
US48,"6/3/2023 2 a.m. EDT",426010.26,420506,419590.26,-881
US48,"6/3/2023 3 a.m. EDT",404187.94,396462.4,397296.94,-696
US48,"6/3/2023 4 a.m. EDT",388116.3,384520.66,381828.3,-721
US48,"6/3/2023 5 a.m. EDT",377920.28,376168.48,371568.28,-997
US48,"6/3/2023 6 a.m. EDT",372803.22,373270.1,367045.22,-1136
US48,"6/3/2023 7 a.m. EDT",372156.58,374813.67,366276.58,-1893
US48,"6/3/2023 8 a.m. EDT",379631.74,384752.25,373009.74,-3101
US48,"6/3/2023 9 a.m. EDT",397493.22,403598.13,390889.22,-3451
US48,"6/3/2023 10 a.m. EDT",420978.8,428298.9,413722.8,-4112
US48,"6/3/2023 11 a.m. EDT",446346.93,454784.92,439866.93,-4403
US48,"6/3/2023 12 p.m. EDT",472761.78,479386.8,467754.78,-3340
US48,"6/3/2023 1 p.m. EDT",495083.87,500386.53,490170.87,-2838
US48,"6/3/2023 2 p.m. EDT",513074.23,517842.53,508013.23,-2914
US48,"6/3/2023 3 p.m. EDT",527407.37,531158.53,521468.37,-3808
US48,"6/3/2023 4 p.m. EDT",538000.74,542170.65,533122.74,-2964
US48,"6/3/2023 5 p.m. EDT",546621.97,550063.56,541397.97,-3475
US48,"6/3/2023 6 p.m. EDT",550188.67,552695.34,545877.67,-3949
US48,"6/3/2023 7 p.m. EDT",546616.68,548654.1,542642.68,-4508
US48,"6/3/2023 8 p.m. EDT",536023.5,538185.43,531841.5,-4641
US48,"6/3/2023 9 p.m. EDT",520122.89,522421.62,515706.89,-4355
US48,"6/3/2023 10 p.m. EDT",504434.33,505025.86,500023.33,-3773
US48,"6/3/2023 11 p.m. EDT",484164.1,483319.69,478527.1,-3190
US48,"6/4/2023 12 a.m. EDT",458552.97,457012.84,451967.97,-2758
US48,"6/4/2023 1 a.m. EDT",431748.44,429884.96,423884.44,-2800
US48,"6/4/2023 2 a.m. EDT",407586.95,403004.67,400691.95,-1217
US48,"6/4/2023 3 a.m. EDT",389687.14,381045.87,382850.14,-892
US48,"6/4/2023 4 a.m. EDT",373462.2,370918.24,366439.2,-1577
US48,"6/4/2023 5 a.m. EDT",363484.18,362283.56,356635.18,-1523
US48,"6/4/2023 6 a.m. EDT",357398.62,358217.63,350725.62,-1436
US48,"6/4/2023 7 a.m. EDT",354895.13,356984.39,348895.13,-899
US48,"6/4/2023 8 a.m. EDT",358468.59,363373.9,352546.59,-1242
US48,"6/4/2023 9 a.m. EDT",372194.44,377926.47,365051.44,-2906
US48,"6/4/2023 10 a.m. EDT",390898.22,397713.41,383751.22,-3261
US48,"6/4/2023 11 a.m. EDT",411347.99,419899.03,405704.99,-3126
US48,"6/4/2023 12 p.m. EDT",430676.55,440928.26,425829.55,-2790
US48,"6/4/2023 1 p.m. EDT",449768.88,460662.9,444103.88,-2850
US48,"6/4/2023 2 p.m. EDT",466195.61,477405.23,461654.61,-2275
US48,"6/4/2023 3 p.m. EDT",481420.96,493282.11,476185.96,-2666
US48,"6/4/2023 4 p.m. EDT",495116.54,507049.46,489988.54,-3140
US48,"6/4/2023 5 p.m. EDT",507354.23,518276.79,501704.23,-4068
US48,"6/4/2023 6 p.m. EDT",515910.44,525310.47,510633.44,-4197
US48,"6/4/2023 7 p.m. EDT",518159.82,526180.39,514045.82,-4095
US48,"6/4/2023 8 p.m. EDT",513172.35,520305.57,509523.35,-3946
US48,"6/4/2023 9 p.m. EDT",503854.36,508835.68,500600.36,-3366
US48,"6/4/2023 10 p.m. EDT",493131.34,493241.37,488928.34,-3639
US48,"6/4/2023 11 p.m. EDT",473834.22,472523.29,468556.22,-2684
US48,"6/5/2023 12 a.m. EDT",447757.56,445335.41,441293.56,-2643
US48,"6/5/2023 1 a.m. EDT",420946.5,418279.49,414074.5,-2310
US48,"6/5/2023 2 a.m. EDT",399402.59,393110.84,392103.59,-1424
US48,"6/5/2023 3 a.m. EDT",381621.63,376264.06,374979.63,-560
US48,"6/5/2023 4 a.m. EDT",371891.04,366550.05,366156.04,-891
US48,"6/5/2023 5 a.m. EDT",365024.58,365159.05,359369.58,-1027
US48,"6/5/2023 6 a.m. EDT",370335.73,373743.77,364675.73,-1682
US48,"6/5/2023 7 a.m. EDT",383840.98,388609.89,377871.98,-2457
US48,"6/5/2023 8 a.m. EDT",400143.18,406326.16,393720.18,-3539
US48,"6/5/2023 9 a.m. EDT",416506.92,423796.55,410607.92,-3652
US48,"6/5/2023 10 a.m. EDT",433463.58,443075.12,429616.58,-2211
US48,"6/5/2023 11 a.m. EDT",452432.65,463338.11,450257.65,-1477
US48,"6/5/2023 12 p.m. EDT",472527.35,483254.38,470489.35,-1114
US48,"6/5/2023 1 p.m. EDT",492387.75,502903.59,490124.75,-1309
US48,"6/5/2023 2 p.m. EDT",512048.91,521555.81,509292.91,-1403
US48,"6/5/2023 3 p.m. EDT",528266.31,537605.98,524873.31,-1430
US48,"6/5/2023 4 p.m. EDT",539642.64,551199.34,536753.64,-1841
US48,"6/5/2023 5 p.m. EDT",548486.31,560347.32,544903.31,-1897
US48,"6/5/2023 6 p.m. EDT",553387.19,563373.71,549540.19,-2539
US48,"6/5/2023 7 p.m. EDT",551298.43,559038.79,547605.43,-2990
US48,"6/5/2023 8 p.m. EDT",542525.13,549648.12,538132.13,-3648
US48,"6/5/2023 9 p.m. EDT",529337.19,534971.64,525661.19,-2741
US48,"6/5/2023 10 p.m. EDT",514546.05,515466.79,509508.05,-3556
US48,"6/5/2023 11 p.m. EDT",490229.37,489722.54,484730.37,-3295
US48,"6/6/2023 12 a.m. EDT",458833.4,459276.06,453372.4,-2729
US48,"6/6/2023 1 a.m. EDT",430401.72,428938.22,424064.72,-2506
US48,"6/6/2023 2 a.m. EDT",409160.68,403384.28,403368.68,-1368
US48,"6/6/2023 3 a.m. EDT",389390.64,384929.54,383685.64,-1211
US48,"6/6/2023 4 a.m. EDT",377329.8,374354.29,371461.8,-1582
US48,"6/6/2023 5 a.m. EDT",371760.04,371729.01,366224.04,-1935
US48,"6/6/2023 6 a.m. EDT",375636.69,379276.65,370332.69,-1951
US48,"6/6/2023 7 a.m. EDT",388237.84,393332.69,382166.84,-2884
US48,"6/6/2023 8 a.m. EDT",404430.02,410732.8,397752.02,-4243
US48,"6/6/2023 9 a.m. EDT",420762.9,428508.68,415867.9,-2874
US48,"6/6/2023 10 a.m. EDT",438275.42,447955.98,434375.42,-2075
US48,"6/6/2023 11 a.m. EDT",456315.23,469017.52,453742.23,-1210
US48,"6/6/2023 12 p.m. EDT",476918.02,490872.77,474001.02,-847
US48,"6/6/2023 1 p.m. EDT",496838.25,511446.01,493461.25,-1326
US48,"6/6/2023 2 p.m. EDT",517959.46,530471.38,514520.46,-1890
US48,"6/6/2023 3 p.m. EDT",536719.49,546549.15,532178.49,-2290
US48,"6/6/2023 4 p.m. EDT",550206.6,559725.89,545275.6,-2504
US48,"6/6/2023 5 p.m. EDT",558359.76,569678.73,553351.76,-2764
US48,"6/6/2023 6 p.m. EDT",561158.8,573873.17,556228.8,-3469
US48,"6/6/2023 7 p.m. EDT",556238.19,570129.98,551589.19,-3140
US48,"6/6/2023 8 p.m. EDT",544506.31,559343.88,540516.31,-2960
US48,"6/6/2023 9 p.m. EDT",531315.97,544335.86,527468.97,-2617
US48,"6/6/2023 10 p.m. EDT",516411.37,523775.74,511631.37,-3343
US48,"6/6/2023 11 p.m. EDT",492781.32,497966,487412.32,-3026
US48,"6/7/2023 12 a.m. EDT",462590.09,466498.62,457474.09,-2459
US48,"6/7/2023 1 a.m. EDT",435853.97,434914.92,429553.97,-2551
