"Region Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
US48,"5/1/2023 12 a.m. EDT",397834.1,389348.67,392253.1,-1468
US48,"5/1/2023 1 a.m. EDT",379130.34,371909.21,372819.34,-1249
US48,"5/1/2023 2 a.m. EDT",364355.67,357886.71,357561.67,-1664
US48,"5/1/2023 3 a.m. EDT",353365.82,348979.13,346908.83,-991
US48,"5/1/2023 4 a.m. EDT",346790.46,344995.66,341218.46,-1395
US48,"5/1/2023 5 a.m. EDT",347140.11,348778.1,340830.11,-1753
US48,"5/1/2023 6 a.m. EDT",356980.82,362483.49,349990.82,-2787
US48,"5/1/2023 7 a.m. EDT",379785.37,381914.49,372704.37,-3724
US48,"5/1/2023 8 a.m. EDT",400561.2,400206.05,393186.2,-4057
US48,"5/1/2023 9 a.m. EDT",411017.51,412557.07,404222.51,-3935
US48,"5/1/2023 10 a.m. EDT",415953.8,420929.74,410439.79,-3491
US48,"5/1/2023 11 a.m. EDT",421069,426032.32,416453.99,-3589
US48,"5/1/2023 12 p.m. EDT",426768.54,428497.49,422112.54,-2542
US48,"5/1/2023 1 p.m. EDT",430422.43,431835.16,425343.43,-2648
US48,"5/1/2023 2 p.m. EDT",434488.4,434843.05,429318.4,-2990
US48,"5/1/2023 3 p.m. EDT",438462.39,437671.24,432545.39,-3500
US48,"5/1/2023 4 p.m. EDT",441993.81,442554.57,435813.8,-3733
US48,"5/1/2023 5 p.m. EDT",446862.36,449765.91,440979.35,-3945
US48,"5/1/2023 6 p.m. EDT",453405.97,454718.1,447132.97,-3902
US48,"5/1/2023 7 p.m. EDT",455873.7,457278.03,450153.7,-4020
US48,"5/1/2023 8 p.m. EDT",455116.16,457546.56,449469.15,-4234
US48,"5/1/2023 9 p.m. EDT",455720.19,454268.96,449985.19,-4622
US48,"5/1/2023 10 p.m. EDT",450123.05,444515.15,443827.05,-4234
US48,"5/1/2023 11 p.m. EDT",434006.52,427274.57,427876.52,-4122
US48,"5/2/2023 12 a.m. EDT",412815.02,407152.92,406550.02,-3485
US48,"5/2/2023 1 a.m. EDT",393018.11,387758.2,386290.11,-2923
US48,"5/2/2023 2 a.m. EDT",377401.14,371696.19,369491.14,-3425
US48,"5/2/2023 3 a.m. EDT",367021.61,358031.86,359193.61,-2921
US48,"5/2/2023 4 a.m. EDT",360795.86,357433.14,353012.86,-3828
US48,"5/2/2023 5 a.m. EDT",359997.99,360986.83,352455.99,-3804
US48,"5/2/2023 6 a.m. EDT",367291.18,373689.12,359797.18,-4310
US48,"5/2/2023 7 a.m. EDT",388212.02,392581.52,380506.02,-5093
US48,"5/2/2023 8 a.m. EDT",408572.04,410490.1,400932.04,-5511
US48,"5/2/2023 9 a.m. EDT",418008.3,421997.24,411285.3,-5378
US48,"5/2/2023 10 a.m. EDT",422846.74,428353.64,416764.74,-4931
US48,"5/2/2023 11 a.m. EDT",426817.12,432156.27,421261.11,-4430
US48,"5/2/2023 12 p.m. EDT",429993.45,434302.75,423915.45,-4199
US48,"5/2/2023 1 p.m. EDT",432442.98,436441.07,426777.98,-4030
US48,"5/2/2023 2 p.m. EDT",435787.52,438580.29,430278.51,-4010
US48,"5/2/2023 3 p.m. EDT",438478.53,441485.31,433046.52,-3932
US48,"5/2/2023 4 p.m. EDT",441971.62,445578.76,436726.62,-3553
US48,"5/2/2023 5 p.m. EDT",447438.36,451969.42,442540.36,-3196
US48,"5/2/2023 6 p.m. EDT",452590.19,457438.93,447523.18,-3255
US48,"5/2/2023 7 p.m. EDT",454044.25,459572.89,449488.25,-3729
US48,"5/2/2023 8 p.m. EDT",454034.4,460975.05,449416.4,-3933
US48,"5/2/2023 9 p.m. EDT",455059.05,459023.95,450930.04,-3775
US48,"5/2/2023 10 p.m. EDT",448948.12,449673.48,443586.12,-3890
US48,"5/2/2023 11 p.m. EDT",432617.39,432323.48,427711.39,-3376
US48,"5/3/2023 12 a.m. EDT",412545.09,412055.53,406814.09,-3042
US48,"5/3/2023 1 a.m. EDT",392666.97,390802.92,385893.97,-2271
US48,"5/3/2023 2 a.m. EDT",377697.88,374697.43,369600.87,-2973
US48,"5/3/2023 3 a.m. EDT",365637.28,363517.3,356800.28,-3183
US48,"5/3/2023 4 a.m. EDT",359720.52,360083.62,351079.52,-3740
US48,"5/3/2023 5 a.m. EDT",360355.46,363620.65,351553.45,-4233
US48,"5/3/2023 6 a.m. EDT",367691.59,375513.65,358979.59,-4269
US48,"5/3/2023 7 a.m. EDT",388721.43,394421.37,380030.43,-4782
US48,"5/3/2023 8 a.m. EDT",408423.44,411122.45,400584.44,-4748
US48,"5/3/2023 9 a.m. EDT",417918.22,421537.08,410489.22,-4651
US48,"5/3/2023 10 a.m. EDT",421777.66,426877.13,416664.66,-3111
US48,"5/3/2023 11 a.m. EDT",426078.45,429581.21,421173.45,-2859
US48,"5/3/2023 12 p.m. EDT",428358.66,431373.4,422445.66,-3040
US48,"5/3/2023 1 p.m. EDT",431811.48,432907.61,425797.48,-2459
US48,"5/3/2023 2 p.m. EDT",433826.12,434835.89,428063.12,-2526
US48,"5/3/2023 3 p.m. EDT",437068.89,438118.48,431732.89,-2756
US48,"5/3/2023 4 p.m. EDT",442942.64,443931.67,438297.64,-2462
US48,"5/3/2023 5 p.m. EDT",446830.41,451307.98,441641.41,-3250
US48,"5/3/2023 6 p.m. EDT",453527.2,458185.29,447901.2,-3111
US48,"5/3/2023 7 p.m. EDT",456093.66,461331.37,451000.66,-3214
US48,"5/3/2023 8 p.m. EDT",455547.54,461939.89,450638.54,-3434
US48,"5/3/2023 9 p.m. EDT",455935.73,458107.15,450702.73,-3944
US48,"5/3/2023 10 p.m. EDT",451061.43,448298.29,444699.43,-4476
US48,"5/3/2023 11 p.m. EDT",434618,431048.89,427784,-4349
US48,"5/4/2023 12 a.m. EDT",413592.92,411041.42,407142.92,-2741
US48,"5/4/2023 1 a.m. EDT",393816.73,390855.13,387076.73,-1807
US48,"5/4/2023 2 a.m. EDT",378392.24,373665.94,370811.24,-2190
US48,"5/4/2023 3 a.m. EDT",366804.15,362683.4,358666.15,-3033
US48,"5/4/2023 4 a.m. EDT",360047.59,358708.03,352968.59,-3242
US48,"5/4/2023 5 a.m. EDT",360153.45,361561.97,352927.45,-3513
US48,"5/4/2023 6 a.m. EDT",368070.39,374056.5,360622.39,-3811
US48,"5/4/2023 7 a.m. EDT",389057.85,391886.13,382406.85,-3415
US48,"5/4/2023 8 a.m. EDT",408984.03,408457.39,401928.03,-3940
US48,"5/4/2023 9 a.m. EDT",417821.7,418482.57,411576.7,-4066
US48,"5/4/2023 10 a.m. EDT",421350.9,424513.46,415659.9,-4278
US48,"5/4/2023 11 a.m. EDT",425922.89,428675.06,421373.89,-3701
US48,"5/4/2023 12 p.m. EDT",429550.93,431961.12,424175.93,-3209
US48,"5/4/2023 1 p.m. EDT",433442.36,435391.96,428010.36,-3176
US48,"5/4/2023 2 p.m. EDT",438143.38,439337.08,432651.38,-3170
US48,"5/4/2023 3 p.m. EDT",443433.43,443860.49,437252.43,-2796
US48,"5/4/2023 4 p.m. EDT",447360.81,449137.37,441404.81,-2728
US48,"5/4/2023 5 p.m. EDT",451863.97,455192.64,445321.97,-3320
US48,"5/4/2023 6 p.m. EDT",454998.78,459353.42,449055.78,-1966
US48,"5/4/2023 7 p.m. EDT",455878.21,460199.52,450456.21,-2940
US48,"5/4/2023 8 p.m. EDT",453930.78,459351.33,449206.78,-3073
US48,"5/4/2023 9 p.m. EDT",454091.17,455643.77,448768.17,-3295
US48,"5/4/2023 10 p.m. EDT",449220.35,446540.17,442913.35,-3699
US48,"5/4/2023 11 p.m. EDT",433274.75,429037.62,427676.75,-3452
US48,"5/5/2023 12 a.m. EDT",413775.37,408785.62,407673.37,-3328
US48,"5/5/2023 1 a.m. EDT",394143.99,389325.73,387166.99,-3036
US48,"5/5/2023 2 a.m. EDT",378888.07,371911.2,371044.07,-3290
US48,"5/5/2023 3 a.m. EDT",367253.94,360432.58,359215.94,-3205
US48,"5/5/2023 4 a.m. EDT",360439.73,355470.16,352669.73,-3687
US48,"5/5/2023 5 a.m. EDT",360428.5,357736.93,352104.5,-3692
US48,"5/5/2023 6 a.m. EDT",367559.56,369680.76,359658.56,-3330
US48,"5/5/2023 7 a.m. EDT",384124.42,384653.45,376618.42,-3636
US48,"5/5/2023 8 a.m. EDT",402157.66,399802.74,394563.66,-4147
US48,"5/5/2023 9 a.m. EDT",411496.2,410847.46,404632.2,-4208
US48,"5/5/2023 10 a.m. EDT",419165.595,419203.94,412632.595,-4592
US48,"5/5/2023 11 a.m. EDT",426400.54,426994.55,420921.54,-3653
US48,"5/5/2023 12 p.m. EDT",434048.158,433199.3,427601.158,-3147
US48,"5/5/2023 1 p.m. EDT",440378.98,438445.93,434917.98,-2790
US48,"5/5/2023 2 p.m. EDT",445160.161,444088.42,439577.161,-2690
US48,"5/5/2023 3 p.m. EDT",450370.12,449594.11,444822.12,-3228
US48,"5/5/2023 4 p.m. EDT",454799.16,454848.95,448202.16,-3376
