"Region Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
US48,"3/1/2023 12 a.m. EST",432561.8834,427845.96,427016.8834,-824
US48,"3/1/2023 1 a.m. EST",414567.65,411537.83,409622.65,-1160
US48,"3/1/2023 2 a.m. EST",402955.5401,396839.61,397258.5401,-774
US48,"3/1/2023 3 a.m. EST",393166.74,388518.68,386767.74,-861
US48,"3/1/2023 4 a.m. EST",389260.24,386526.84,382004.24,-2488
US48,"3/1/2023 5 a.m. EST",389781.1001,392131.46,382756.0901,-2624
US48,"3/1/2023 6 a.m. EST",401467.38,407949.85,393740.38,-3527
US48,"3/1/2023 7 a.m. EST",424964.47,430194.45,417295.47,-3794
US48,"3/1/2023 8 a.m. EST",446388.5901,448293.19,438847.5801,-4170
US48,"3/1/2023 9 a.m. EST",453708.48,456744.03,447828.47,-3554
US48,"3/1/2023 10 a.m. EST",455996.46,459170.83,451489.46,-2440
US48,"3/1/2023 11 a.m. EST",457880.0301,458755.03,452590.0301,-2129
US48,"3/1/2023 12 p.m. EST",459140.27,457430.35,452335.27,-2505
US48,"3/1/2023 1 p.m. EST",459375.84,456499.26,451060.84,-3163
US48,"3/1/2023 2 p.m. EST",459585.57,455770.12,451661.57,-2481
US48,"3/1/2023 3 p.m. EST",458889.7601,456730.53,452397.7501,-2227
US48,"3/1/2023 4 p.m. EST",460410.03,459373.46,454150.02,-2236
US48,"3/1/2023 5 p.m. EST",461841.9,463935.29,455324.89,-1549
US48,"3/1/2023 6 p.m. EST",464876.83,468646.39,459538.83,-738
US48,"3/1/2023 7 p.m. EST",471603.2301,473985.37,467001.2301,-308
US48,"3/1/2023 8 p.m. EST",477104.78,478095.33,472854.77,-306
US48,"3/1/2023 9 p.m. EST",475198.36,474662.74,471253.35,-594
US48,"3/1/2023 10 p.m. EST",466864.6301,463267.16,462467.6201,-823
US48,"3/1/2023 11 p.m. EST",451193.42,444424.67,444404.42,-1003
US48,"3/2/2023 12 a.m. EST",432859.45,423576.4,426085.45,-545
US48,"3/2/2023 1 a.m. EST",415276.23,404827.44,409169.23,154
US48,"3/2/2023 2 a.m. EST",400895.6601,391080.33,392965.6601,-325
US48,"3/2/2023 3 a.m. EST",391733.16,381535.75,384172.16,-725
US48,"3/2/2023 4 a.m. EST",386284.73,378457.99,379001.73,-922
US48,"3/2/2023 5 a.m. EST",386230.7001,383061.15,378474.7001,-1202
US48,"3/2/2023 6 a.m. EST",394931.33,397682.46,387982.33,-525
US48,"3/2/2023 7 a.m. EST",416439.85,418877.85,409254.85,-1754
US48,"3/2/2023 8 a.m. EST",440070.65,439687.99,432710.65,-2470
US48,"3/2/2023 9 a.m. EST",454541.5801,452617.12,447272.5801,-3824
US48,"3/2/2023 10 a.m. EST",463046.48,460129.76,456904.48,-3188
US48,"3/2/2023 11 a.m. EST",468402.48,461515.3,460300.48,-2693
US48,"3/2/2023 12 p.m. EST",467785.85,459655.19,457764.85,-3002
US48,"3/2/2023 1 p.m. EST",464010.09,456777.05,453933.09,-3147
US48,"3/2/2023 2 p.m. EST",460549.11,454895.98,451680.11,-2506
US48,"3/2/2023 3 p.m. EST",457416.63,453858.5,450236.63,-2139
US48,"3/2/2023 4 p.m. EST",456151.29,454138.58,449451.29,-1514
US48,"3/2/2023 5 p.m. EST",456026.52,457793.75,449627.52,-1218
US48,"3/2/2023 6 p.m. EST",460601.54,462551.49,453879.54,-985
US48,"3/2/2023 7 p.m. EST",467947.87,466916.84,462314.86,-1003
US48,"3/2/2023 8 p.m. EST",472293.38,471258.76,466821.38,-1661
US48,"3/2/2023 9 p.m. EST",470121.46,469968.43,464843.46,-2516
US48,"3/2/2023 10 p.m. EST",462704.86,459786.78,457130.86,-1989
US48,"3/2/2023 11 p.m. EST",448391.48,441918.81,441049.48,-1797
US48,"3/3/2023 12 a.m. EST",429953.45,422220.94,422598.45,-1061
US48,"3/3/2023 1 a.m. EST",412246.18,404255.38,405203.18,-751
US48,"3/3/2023 2 a.m. EST",400589.13,392301.68,392952.13,-787
US48,"3/3/2023 3 a.m. EST",391525.58,383062.64,383495.57,-1423
US48,"3/3/2023 4 a.m. EST",387482.42,379914.11,379195.42,-2667
US48,"3/3/2023 5 a.m. EST",388877.36,385012.89,380241.36,-3227
US48,"3/3/2023 6 a.m. EST",397494.94,399660.39,389281.94,-3228
US48,"3/3/2023 7 a.m. EST",419215.14,422037.99,411192.14,-3642
US48,"3/3/2023 8 a.m. EST",440944.15,443455.26,432437.15,-4550
US48,"3/3/2023 9 a.m. EST",453123.4,456841.59,446009.4,-4390
US48,"3/3/2023 10 a.m. EST",461950.24,463411.03,455248.24,-4645
US48,"3/3/2023 11 a.m. EST",466588.29,464900.18,459027.29,-4185
US48,"3/3/2023 12 p.m. EST",465890.71,462220.39,456341.71,-4505
US48,"3/3/2023 1 p.m. EST",462602.21,458058.39,451795.21,-4819
US48,"3/3/2023 2 p.m. EST",458630.89,454604.24,448448.89,-4869
US48,"3/3/2023 3 p.m. EST",456416.89,452169.73,446990.89,-4913
