"Region Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
US48,"11/1/2023 12 a.m. EDT",434173.57,435819.44,433749.57,319
US48,"11/1/2023 1 a.m. EDT",407410.66,408433.73,403198.66,-1660
US48,"11/1/2023 2 a.m. EDT",398040.01,396792,393444,-1723
US48,"11/1/2023 3 a.m. EDT",391863.57,386570.54,387660.56,-2061
US48,"11/1/2023 4 a.m. EDT",389019.77,389445.73,386045.77,-1130
US48,"11/1/2023 5 a.m. EDT",392902.1,396369.55,389260.09,-1131
US48,"11/1/2023 6 a.m. EDT",404530.52,413418.34,400180.52,-1532
US48,"11/1/2023 7 a.m. EDT",429508.79,437344.65,425603.78,-1753
US48,"11/1/2023 8 a.m. EDT",455961.66,461719.75,451592.66,-1928
US48,"11/1/2023 9 a.m. EDT",468668.02,473607.48,464619.01,-1636
US48,"11/1/2023 10 a.m. EDT",469715.5,473944.05,466068.49,-983
US48,"11/1/2023 11 a.m. EDT",464495.03,466990.72,460702.02,-1655
US48,"11/1/2023 12 p.m. EDT",457885.1,455435.53,453748.1,-1085
US48,"11/1/2023 1 p.m. EDT",448233.58,443672.46,444570.58,-742
US48,"11/1/2023 2 p.m. EDT",440594.25,433297.48,437745.25,-1065
US48,"11/1/2023 3 p.m. EDT",434084.99,425566.15,431547.99,-1118
US48,"11/1/2023 4 p.m. EDT",429107.48,423262.74,426396.48,-758
US48,"11/1/2023 5 p.m. EDT",429592.31,426756.36,426991.31,-511
US48,"11/1/2023 6 p.m. EDT",436492.26,436435.81,433006.26,-1179
US48,"11/1/2023 7 p.m. EDT",449386.89,448924.61,446252.89,-1256
US48,"11/1/2023 8 p.m. EDT",463230.36,461162.03,459477.36,-2240
US48,"11/1/2023 9 p.m. EDT",467910.54,465274.01,464858.54,-2086
US48,"11/1/2023 10 p.m. EDT",463430.66,459845.86,460107.66,-1555
US48,"11/1/2023 11 p.m. EDT",450750.43,446663.94,446885.43,-1670
US48,"11/2/2023 12 a.m. EDT",434914.47,430679.97,430672.47,-1661
US48,"11/2/2023 1 a.m. EDT",433979.18,416481.75,431222.18,-1151
US48,"11/2/2023 2 a.m. EDT",425150.51,408722.75,421619.51,-1672
US48,"11/2/2023 3 a.m. EDT",419360.24,401418.42,414543.24,-2011
US48,"11/2/2023 4 a.m. EDT",417734.57,404473.83,413588.57,-2390
US48,"11/2/2023 5 a.m. EDT",421258.6,411920.53,416285.6,-2460
US48,"11/2/2023 6 a.m. EDT",435032.22,428974.39,430355.22,-2415
US48,"11/2/2023 7 a.m. EDT",462343.12,450629.9,457207.12,-2288
US48,"11/2/2023 8 a.m. EDT",489092.54,470908.48,484880.54,-2150
US48,"11/2/2023 9 a.m. EDT",499499.87,477208.89,495871.87,-1255
US48,"11/2/2023 10 a.m. EDT",493462.24,471615.13,489379.24,-1591
US48,"11/2/2023 11 a.m. EDT",479849.59,459048.01,476062.6,-1237
US48,"11/2/2023 12 p.m. EDT",466746.82,443870.55,461380.82,-684
US48,"11/2/2023 1 p.m. EDT",455138.24,430051.01,451032.24,-472
US48,"11/2/2023 2 p.m. EDT",445677.37,419896.73,442566.37,-351
US48,"11/2/2023 3 p.m. EDT",438895.46,413135.04,436432.46,-86
US48,"11/2/2023 4 p.m. EDT",436204.78,412086.33,432999.78,-198
US48,"11/2/2023 5 p.m. EDT",438555.62,417011.46,435473.62,31
US48,"11/2/2023 6 p.m. EDT",445250.9,426602.83,441782.9,40
US48,"11/2/2023 7 p.m. EDT",456907.01,437865.18,452949.01,29
US48,"11/2/2023 8 p.m. EDT",468875.7,448393.24,466284.7,-689
US48,"11/2/2023 9 p.m. EDT",471646.34,451138.06,468815.34,-1016
US48,"11/2/2023 10 p.m. EDT",466045.59,445181.13,461738.59,-1080
US48,"11/2/2023 11 p.m. EDT",453010.55,431025.65,449543.55,-1072
US48,"11/3/2023 12 a.m. EDT",436696.24,416190.07,432144.23,-1537
US48,"11/3/2023 1 a.m. EDT",422448.36,415509.51,417335.35,-1935
US48,"11/3/2023 2 a.m. EDT",412774.64,404705.22,408511.63,-1056
US48,"11/3/2023 3 a.m. EDT",405742.96,398231.83,401546.95,-1129
US48,"11/3/2023 4 a.m. EDT",403223.02,398330.01,398812.02,-1414
US48,"11/3/2023 5 a.m. EDT",405646.77,404589.74,401347.76,-1261
US48,"11/3/2023 6 a.m. EDT",417067.15,419879.63,413339.15,-1016
US48,"11/3/2023 7 a.m. EDT",440419.41,441930.61,436350.41,-1130
US48,"11/3/2023 8 a.m. EDT",465770.9,460227.05,461957.9,-891
US48,"11/3/2023 9 a.m. EDT",476562.12,467324.67,473499.12,-407
US48,"11/3/2023 10 a.m. EDT",471318.11,463713.5,466780.1,-1130
US48,"11/3/2023 11 a.m. EDT",460725.29,455150.21,455685.29,-1654
US48,"11/3/2023 12 p.m. EDT",450774.46,443827.86,444214.46,-2011
US48,"11/3/2023 1 p.m. EDT",441922.48,433507.29,436491.48,-1637
US48,"11/3/2023 2 p.m. EDT",434935.05,425853.53,430424.04,-1886
US48,"11/3/2023 3 p.m. EDT",430347.64,421277.21,425279.64,-2289
US48,"11/3/2023 4 p.m. EDT",428204.07,421038.41,423407.07,-2226
US48,"11/3/2023 5 p.m. EDT",430884.59,424258.24,425803.59,-2483
US48,"11/3/2023 6 p.m. EDT",436306.34,430803.96,431411.33,-2455
US48,"11/3/2023 7 p.m. EDT",442039.85,438075.4,438154.84,-2412
