"Region Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
US48,"10/1/2023 12 a.m. EDT",440380.28,432355.25,439509.28,3471
US48,"10/1/2023 1 a.m. EDT",416793.4,410687.1,415553.4,3340
US48,"10/1/2023 2 a.m. EDT",398318.92,392143.99,397638.91,3557
US48,"10/1/2023 3 a.m. EDT",382770.63,376625.3,381465.62,3343
US48,"10/1/2023 4 a.m. EDT",371552.15,366264.11,370570.14,3347
US48,"10/1/2023 5 a.m. EDT",364070.63,360469.74,363064.63,3455
US48,"10/1/2023 6 a.m. EDT",360608.17,358610.3,358976.17,2723
US48,"10/1/2023 7 a.m. EDT",361523.82,360736.47,359696.82,2542
US48,"10/1/2023 8 a.m. EDT",365944.35,367064.94,364022.35,2383
US48,"10/1/2023 9 a.m. EDT",375843.37,378226.99,374294.37,2450
US48,"10/1/2023 10 a.m. EDT",392182.39,396196.28,390906.39,2200
US48,"10/1/2023 11 a.m. EDT",411850.54,415003.77,410268.54,2033
US48,"10/1/2023 12 p.m. EDT",433435.1,434193.31,432929.1,2045
US48,"10/1/2023 1 p.m. EDT",457642.65,453642.73,454979.66,1569
US48,"10/1/2023 2 p.m. EDT",478239.01,471765.71,474987.01,1365
US48,"10/1/2023 3 p.m. EDT",495094.72,487466.78,492357.72,1570
US48,"10/1/2023 4 p.m. EDT",508623.1,501183.05,506574.1,878
US48,"10/1/2023 5 p.m. EDT",521115.77,512828.93,519026.77,788
US48,"10/1/2023 6 p.m. EDT",528980.25,519249.4,527347.25,633
US48,"10/1/2023 7 p.m. EDT",527023.44,519146.05,525792.44,539
US48,"10/1/2023 8 p.m. EDT",519367.01,513286.76,518250.01,464
US48,"10/1/2023 9 p.m. EDT",507401.03,501902.09,506687.03,822
US48,"10/1/2023 10 p.m. EDT",488227.17,483294.14,487321.17,1146
US48,"10/1/2023 11 p.m. EDT",465317.52,460658.17,464184.52,1901
US48,"10/2/2023 12 a.m. EDT",438960.34,433165.28,437342.34,2995
US48,"10/2/2023 1 a.m. EDT",413882.48,408287.27,412235.47,2766
