# Renewables.ninja Weather (Point API) - -2.959, -59.903 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in America/Manaus, swgdn in W/m²
# {"units": {"time": "UTC", "local_time": "America/Manaus", "swgdn": "W/m\u00b2"}, "params": {"local_time": true, "header": true, "lat": "-2.9587869299190035", "lon": "-59.902972188795545", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "var_t2m": false, "var_prectotland": false, "var_precsnoland": false, "var_snomas": false, "var_rhoa": false, "var_swgdn": true, "var_swtdn": false, "var_cldtot": false}}
time,local_time,swgdn
2019-01-01 00:00,2018-12-31 20:00,0
2019-01-01 01:00,2018-12-31 21:00,0
2019-01-01 02:00,2018-12-31 22:00,0
2019-01-01 03:00,2018-12-31 23:00,0
2019-01-01 04:00,2019-01-01 00:00,0
2019-01-01 05:00,2019-01-01 01:00,0
2019-01-01 06:00,2019-01-01 02:00,0
2019-01-01 07:00,2019-01-01 03:00,0
2019-01-01 08:00,2019-01-01 04:00,0
2019-01-01 09:00,2019-01-01 05:00,0.138
2019-01-01 10:00,2019-01-01 06:00,35.997
2019-01-01 11:00,2019-01-01 07:00,141.819
2019-01-01 12:00,2019-01-01 08:00,335.555
2019-01-01 13:00,2019-01-01 09:00,550.630
2019-01-01 14:00,2019-01-01 10:00,690.555
2019-01-01 15:00,2019-01-01 11:00,765.519
2019-01-01 16:00,2019-01-01 12:00,751.570
2019-01-01 17:00,2019-01-01 13:00,666.884
2019-01-01 18:00,2019-01-01 14:00,534.026
2019-01-01 19:00,2019-01-01 15:00,341.972
2019-01-01 20:00,2019-01-01 16:00,184.633
2019-01-01 21:00,2019-01-01 17:00,53.283
2019-01-01 22:00,2019-01-01 18:00,0.171
2019-01-01 23:00,2019-01-01 19:00,0
2019-01-02 00:00,2019-01-01 20:00,0
2019-01-02 01:00,2019-01-01 21:00,0
2019-01-02 02:00,2019-01-01 22:00,0
2019-01-02 03:00,2019-01-01 23:00,0
2019-01-02 04:00,2019-01-02 00:00,0
2019-01-02 05:00,2019-01-02 01:00,0
2019-01-02 06:00,2019-01-02 02:00,0
2019-01-02 07:00,2019-01-02 03:00,0
2019-01-02 08:00,2019-01-02 04:00,0
2019-01-02 09:00,2019-01-02 05:00,0.222
2019-01-02 10:00,2019-01-02 06:00,54.134
2019-01-02 11:00,2019-01-02 07:00,194.424
2019-01-02 12:00,2019-01-02 08:00,363.748
2019-01-02 13:00,2019-01-02 09:00,518.975
2019-01-02 14:00,2019-01-02 10:00,637.964
2019-01-02 15:00,2019-01-02 11:00,719.784
2019-01-02 16:00,2019-01-02 12:00,732.375
2019-01-02 17:00,2019-01-02 13:00,654.358
2019-01-02 18:00,2019-01-02 14:00,521.989
2019-01-02 19:00,2019-01-02 15:00,357.644
2019-01-02 20:00,2019-01-02 16:00,190.755
2019-01-02 21:00,2019-01-02 17:00,49.720
2019-01-02 22:00,2019-01-02 18:00,0.128
2019-01-02 23:00,2019-01-02 19:00,0
2019-01-03 00:00,2019-01-02 20:00,0
2019-01-03 01:00,2019-01-02 21:00,0
2019-01-03 02:00,2019-01-02 22:00,0
2019-01-03 03:00,2019-01-02 23:00,0
2019-01-03 04:00,2019-01-03 00:00,0
2019-01-03 05:00,2019-01-03 01:00,0
2019-01-03 06:00,2019-01-03 02:00,0
2019-01-03 07:00,2019-01-03 03:00,0
2019-01-03 08:00,2019-01-03 04:00,0
2019-01-03 09:00,2019-01-03 05:00,0.141
2019-01-03 10:00,2019-01-03 06:00,41.820
2019-01-03 11:00,2019-01-03 07:00,144.669
2019-01-03 12:00,2019-01-03 08:00,262.648
2019-01-03 13:00,2019-01-03 09:00,371.947
2019-01-03 14:00,2019-01-03 10:00,420.867
2019-01-03 15:00,2019-01-03 11:00,458.589
2019-01-03 16:00,2019-01-03 12:00,496.264
2019-01-03 17:00,2019-01-03 13:00,496.097
2019-01-03 18:00,2019-01-03 14:00,409.614
2019-01-03 19:00,2019-01-03 15:00,308.608
2019-01-03 20:00,2019-01-03 16:00,172.788
2019-01-03 21:00,2019-01-03 17:00,47.732
2019-01-03 22:00,2019-01-03 18:00,0.112
2019-01-03 23:00,2019-01-03 19:00,0
2019-01-04 00:00,2019-01-03 20:00,0
2019-01-04 01:00,2019-01-03 21:00,0
2019-01-04 02:00,2019-01-03 22:00,0
2019-01-04 03:00,2019-01-03 23:00,0
2019-01-04 04:00,2019-01-04 00:00,0
2019-01-04 05:00,2019-01-04 01:00,0
2019-01-04 06:00,2019-01-04 02:00,0
2019-01-04 07:00,2019-01-04 03:00,0
2019-01-04 08:00,2019-01-04 04:00,0
2019-01-04 09:00,2019-01-04 05:00,0.219
2019-01-04 10:00,2019-01-04 06:00,60.966
2019-01-04 11:00,2019-01-04 07:00,220.940
2019-01-04 12:00,2019-01-04 08:00,363.359
2019-01-04 13:00,2019-01-04 09:00,520.318
2019-01-04 14:00,2019-01-04 10:00,637.392
2019-01-04 15:00,2019-01-04 11:00,701.365
2019-01-04 16:00,2019-01-04 12:00,676.290
2019-01-04 17:00,2019-01-04 13:00,592.955
2019-01-04 18:00,2019-01-04 14:00,427.511
2019-01-04 19:00,2019-01-04 15:00,284.305
2019-01-04 20:00,2019-01-04 16:00,145.468
2019-01-04 21:00,2019-01-04 17:00,51.325
2019-01-04 22:00,2019-01-04 18:00,0.134
2019-01-04 23:00,2019-01-04 19:00,0
2019-01-05 00:00,2019-01-04 20:00,0
2019-01-05 01:00,2019-01-04 21:00,0
2019-01-05 02:00,2019-01-04 22:00,0
2019-01-05 03:00,2019-01-04 23:00,0
2019-01-05 04:00,2019-01-05 00:00,0
2019-01-05 05:00,2019-01-05 01:00,0
2019-01-05 06:00,2019-01-05 02:00,0
2019-01-05 07:00,2019-01-05 03:00,0
2019-01-05 08:00,2019-01-05 04:00,0
2019-01-05 09:00,2019-01-05 05:00,0.155
2019-01-05 10:00,2019-01-05 06:00,41.562
2019-01-05 11:00,2019-01-05 07:00,146.096
2019-01-05 12:00,2019-01-05 08:00,266.105
2019-01-05 13:00,2019-01-05 09:00,330.998
2019-01-05 14:00,2019-01-05 10:00,351.460
2019-01-05 15:00,2019-01-05 11:00,405.993
2019-01-05 16:00,2019-01-05 12:00,453.013
2019-01-05 17:00,2019-01-05 13:00,445.839
2019-01-05 18:00,2019-01-05 14:00,361.672
2019-01-05 19:00,2019-01-05 15:00,268.554
2019-01-05 20:00,2019-01-05 16:00,135.196
2019-01-05 21:00,2019-01-05 17:00,36.257
2019-01-05 22:00,2019-01-05 18:00,0.094
2019-01-05 23:00,2019-01-05 19:00,0
2019-01-06 00:00,2019-01-05 20:00,0
2019-01-06 01:00,2019-01-05 21:00,0
2019-01-06 02:00,2019-01-05 22:00,0
2019-01-06 03:00,2019-01-05 23:00,0
