# Renewables.ninja Weather (Point API) - -22.950, -43.362 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in America/Sao_Paulo, swgdn in W/m²
# {"units": {"time": "UTC", "local_time": "America/Sao_Paulo", "swgdn": "W/m\u00b2"}, "params": {"local_time": true, "header": true, "lat": "-22.950249834597894", "lon": "-43.36204507725404", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "var_t2m": false, "var_prectotland": false, "var_precsnoland": false, "var_snomas": false, "var_rhoa": false, "var_swgdn": true, "var_swtdn": false, "var_cldtot": false}}
time,local_time,swgdn
2019-01-01 00:00,2018-12-31 22:00,0
2019-01-01 01:00,2018-12-31 23:00,0
2019-01-01 02:00,2019-01-01 00:00,0
2019-01-01 03:00,2019-01-01 01:00,0
2019-01-01 04:00,2019-01-01 02:00,0
2019-01-01 05:00,2019-01-01 03:00,0
2019-01-01 06:00,2019-01-01 04:00,0
2019-01-01 07:00,2019-01-01 05:00,0
2019-01-01 08:00,2019-01-01 06:00,37.779
2019-01-01 09:00,2019-01-01 07:00,215.961
2019-01-01 10:00,2019-01-01 08:00,443.308
2019-01-01 11:00,2019-01-01 09:00,671.169
2019-01-01 12:00,2019-01-01 10:00,859.412
2019-01-01 13:00,2019-01-01 11:00,989.908
2019-01-01 14:00,2019-01-01 12:00,1055.481
2019-01-01 15:00,2019-01-01 13:00,1048.764
2019-01-01 16:00,2019-01-01 14:00,977.200
2019-01-01 17:00,2019-01-01 15:00,829.861
2019-01-01 18:00,2019-01-01 16:00,605.059
2019-01-01 19:00,2019-01-01 17:00,375.294
2019-01-01 20:00,2019-01-01 18:00,155.615
2019-01-01 21:00,2019-01-01 19:00,16.246
2019-01-01 22:00,2019-01-01 20:00,0
2019-01-01 23:00,2019-01-01 21:00,0
2019-01-02 00:00,2019-01-01 22:00,0
2019-01-02 01:00,2019-01-01 23:00,0
2019-01-02 02:00,2019-01-02 00:00,0
2019-01-02 03:00,2019-01-02 01:00,0
2019-01-02 04:00,2019-01-02 02:00,0
2019-01-02 05:00,2019-01-02 03:00,0
2019-01-02 06:00,2019-01-02 04:00,0
2019-01-02 07:00,2019-01-02 05:00,0
2019-01-02 08:00,2019-01-02 06:00,30.363
2019-01-02 09:00,2019-01-02 07:00,200.130
2019-01-02 10:00,2019-01-02 08:00,439.142
2019-01-02 11:00,2019-01-02 09:00,663.649
2019-01-02 12:00,2019-01-02 10:00,851.468
2019-01-02 13:00,2019-01-02 11:00,984.062
2019-01-02 14:00,2019-01-02 12:00,1049.190
2019-01-02 15:00,2019-01-02 13:00,1038.123
2019-01-02 16:00,2019-01-02 14:00,927.177
2019-01-02 17:00,2019-01-02 15:00,769.610
2019-01-02 18:00,2019-01-02 16:00,568.433
2019-01-02 19:00,2019-01-02 17:00,357.842
2019-01-02 20:00,2019-01-02 18:00,162.554
2019-01-02 21:00,2019-01-02 19:00,16.792
2019-01-02 22:00,2019-01-02 20:00,0
2019-01-02 23:00,2019-01-02 21:00,0
2019-01-03 00:00,2019-01-02 22:00,0
2019-01-03 01:00,2019-01-02 23:00,0
2019-01-03 02:00,2019-01-03 00:00,0
2019-01-03 03:00,2019-01-03 01:00,0
2019-01-03 04:00,2019-01-03 02:00,0
2019-01-03 05:00,2019-01-03 03:00,0
2019-01-03 06:00,2019-01-03 04:00,0
2019-01-03 07:00,2019-01-03 05:00,0
2019-01-03 08:00,2019-01-03 06:00,28.013
2019-01-03 09:00,2019-01-03 07:00,156.130
2019-01-03 10:00,2019-01-03 08:00,294.848
2019-01-03 11:00,2019-01-03 09:00,389.509
2019-01-03 12:00,2019-01-03 10:00,423.206
2019-01-03 13:00,2019-01-03 11:00,428.048
2019-01-03 14:00,2019-01-03 12:00,404.255
2019-01-03 15:00,2019-01-03 13:00,382.281
2019-01-03 16:00,2019-01-03 14:00,350.299
2019-01-03 17:00,2019-01-03 15:00,256.921
2019-01-03 18:00,2019-01-03 16:00,166.314
2019-01-03 19:00,2019-01-03 17:00,106.284
2019-01-03 20:00,2019-01-03 18:00,48.029
2019-01-03 21:00,2019-01-03 19:00,5.846
2019-01-03 22:00,2019-01-03 20:00,0
2019-01-03 23:00,2019-01-03 21:00,0
2019-01-04 00:00,2019-01-03 22:00,0
2019-01-04 01:00,2019-01-03 23:00,0
2019-01-04 02:00,2019-01-04 00:00,0
2019-01-04 03:00,2019-01-04 01:00,0
2019-01-04 04:00,2019-01-04 02:00,0
2019-01-04 05:00,2019-01-04 03:00,0
2019-01-04 06:00,2019-01-04 04:00,0
2019-01-04 07:00,2019-01-04 05:00,0
2019-01-04 08:00,2019-01-04 06:00,25.067
2019-01-04 09:00,2019-01-04 07:00,193.852
2019-01-04 10:00,2019-01-04 08:00,435.029
2019-01-04 11:00,2019-01-04 09:00,662.878
2019-01-04 12:00,2019-01-04 10:00,846.156
2019-01-04 13:00,2019-01-04 11:00,949.521
2019-01-04 14:00,2019-01-04 12:00,934.531
2019-01-04 15:00,2019-01-04 13:00,789.415
2019-01-04 16:00,2019-01-04 14:00,642.806
2019-01-04 17:00,2019-01-04 15:00,478.160
2019-01-04 18:00,2019-01-04 16:00,331.373
2019-01-04 19:00,2019-01-04 17:00,181.600
2019-01-04 20:00,2019-01-04 18:00,63.589
2019-01-04 21:00,2019-01-04 19:00,5.118
2019-01-04 22:00,2019-01-04 20:00,0
2019-01-04 23:00,2019-01-04 21:00,0
2019-01-05 00:00,2019-01-04 22:00,0
2019-01-05 01:00,2019-01-04 23:00,0
2019-01-05 02:00,2019-01-05 00:00,0
2019-01-05 03:00,2019-01-05 01:00,0
2019-01-05 04:00,2019-01-05 02:00,0
2019-01-05 05:00,2019-01-05 03:00,0
2019-01-05 06:00,2019-01-05 04:00,0
2019-01-05 07:00,2019-01-05 05:00,0
2019-01-05 08:00,2019-01-05 06:00,19.184
2019-01-05 09:00,2019-01-05 07:00,111.669
2019-01-05 10:00,2019-01-05 08:00,222.862
2019-01-05 11:00,2019-01-05 09:00,333.411
2019-01-05 12:00,2019-01-05 10:00,407.555
2019-01-05 13:00,2019-01-05 11:00,466.371
2019-01-05 14:00,2019-01-05 12:00,485.446
2019-01-05 15:00,2019-01-05 13:00,483.401
2019-01-05 16:00,2019-01-05 14:00,459.102
2019-01-05 17:00,2019-01-05 15:00,401.591
2019-01-05 18:00,2019-01-05 16:00,317.029
2019-01-05 19:00,2019-01-05 17:00,202.325
2019-01-05 20:00,2019-01-05 18:00,87.582
2019-01-05 21:00,2019-01-05 19:00,10.002
2019-01-05 22:00,2019-01-05 20:00,0
2019-01-05 23:00,2019-01-05 21:00,0
2019-01-06 00:00,2019-01-05 22:00,0
2019-01-06 01:00,2019-01-05 23:00,0
2019-01-06 02:00,2019-01-06 00:00,0
2019-01-06 03:00,2019-01-06 01:00,0
2019-01-06 04:00,2019-01-06 02:00,0
2019-01-06 05:00,2019-01-06 03:00,0
2019-01-06 06:00,2019-01-06 04:00,0
2019-01-06 07:00,2019-01-06 05:00,0
2019-01-06 08:00,2019-01-06 06:00,36.799
2019-01-06 09:00,2019-01-06 07:00,223.468
2019-01-06 10:00,2019-01-06 08:00,452.463
2019-01-06 11:00,2019-01-06 09:00,668.651
2019-01-06 12:00,2019-01-06 10:00,844.704
2019-01-06 13:00,2019-01-06 11:00,968.648
2019-01-06 14:00,2019-01-06 12:00,1025.341
2019-01-06 15:00,2019-01-06 13:00,1010.144
2019-01-06 16:00,2019-01-06 14:00,924.714
2019-01-06 17:00,2019-01-06 15:00,759.095
2019-01-06 18:00,2019-01-06 16:00,563.681
2019-01-06 19:00,2019-01-06 17:00,332.661
2019-01-06 20:00,2019-01-06 18:00,143.702
2019-01-06 21:00,2019-01-06 19:00,14.786
2019-01-06 22:00,2019-01-06 20:00,0
2019-01-06 23:00,2019-01-06 21:00,0
2019-01-07 00:00,2019-01-06 22:00,0
2019-01-07 01:00,2019-01-06 23:00,0
2019-01-07 02:00,2019-01-07 00:00,0
2019-01-07 03:00,2019-01-07 01:00,0
2019-01-07 04:00,2019-01-07 02:00,0
2019-01-07 05:00,2019-01-07 03:00,0
2019-01-07 06:00,2019-01-07 04:00,0
2019-01-07 07:00,2019-01-07 05:00,0
2019-01-07 08:00,2019-01-07 06:00,38.887
2019-01-07 09:00,2019-01-07 07:00,232.197
2019-01-07 10:00,2019-01-07 08:00,475.496
2019-01-07 11:00,2019-01-07 09:00,701.706
2019-01-07 12:00,2019-01-07 10:00,886.860
2019-01-07 13:00,2019-01-07 11:00,1016.701
2019-01-07 14:00,2019-01-07 12:00,1078.391
2019-01-07 15:00,2019-01-07 13:00,1068.880
2019-01-07 16:00,2019-01-07 14:00,993.707
2019-01-07 17:00,2019-01-07 15:00,849.950
2019-01-07 18:00,2019-01-07 16:00,655.033
2019-01-07 19:00,2019-01-07 17:00,424.582
2019-01-07 20:00,2019-01-07 18:00,190.220
2019-01-07 21:00,2019-01-07 19:00,18.950
2019-01-07 22:00,2019-01-07 20:00,0
2019-01-07 23:00,2019-01-07 21:00,0
2019-01-08 00:00,2019-01-07 22:00,0
2019-01-08 01:00,2019-01-07 23:00,0
2019-01-08 02:00,2019-01-08 00:00,0
2019-01-08 03:00,2019-01-08 01:00,0
2019-01-08 04:00,2019-01-08 02:00,0
2019-01-08 05:00,2019-01-08 03:00,0
2019-01-08 06:00,2019-01-08 04:00,0
2019-01-08 07:00,2019-01-08 05:00,0
2019-01-08 08:00,2019-01-08 06:00,21.193
2019-01-08 09:00,2019-01-08 07:00,108.186
2019-01-08 10:00,2019-01-08 08:00,219.761
2019-01-08 11:00,2019-01-08 09:00,382.484
2019-01-08 12:00,2019-01-08 10:00,641.685
2019-01-08 13:00,2019-01-08 11:00,889.258
2019-01-08 14:00,2019-01-08 12:00,988.787
2019-01-08 15:00,2019-01-08 13:00,991.326
2019-01-08 16:00,2019-01-08 14:00,931.633
2019-01-08 17:00,2019-01-08 15:00,798.091
2019-01-08 18:00,2019-01-08 16:00,618.824
2019-01-08 19:00,2019-01-08 17:00,406.555
2019-01-08 20:00,2019-01-08 18:00,177.022
2019-01-08 21:00,2019-01-08 19:00,17.500
2019-01-08 22:00,2019-01-08 20:00,0
2019-01-08 23:00,2019-01-08 21:00,0
2019-01-09 00:00,2019-01-08 22:00,0
2019-01-09 01:00,2019-01-08 23:00,0
2019-01-09 02:00,2019-01-09 00:00,0
2019-01-09 03:00,2019-01-09 01:00,0
2019-01-09 04:00,2019-01-09 02:00,0
2019-01-09 05:00,2019-01-09 03:00,0
2019-01-09 06:00,2019-01-09 04:00,0
2019-01-09 07:00,2019-01-09 05:00,0
2019-01-09 08:00,2019-01-09 06:00,41.089
2019-01-09 09:00,2019-01-09 07:00,241.150
2019-01-09 10:00,2019-01-09 08:00,481.850
2019-01-09 11:00,2019-01-09 09:00,706.661
2019-01-09 12:00,2019-01-09 10:00,894.466
2019-01-09 13:00,2019-01-09 11:00,1024.563
2019-01-09 14:00,2019-01-09 12:00,1087.597
2019-01-09 15:00,2019-01-09 13:00,1078.422
2019-01-09 16:00,2019-01-09 14:00,1000.254
2019-01-09 17:00,2019-01-09 15:00,858.014
2019-01-09 18:00,2019-01-09 16:00,662.539
2019-01-09 19:00,2019-01-09 17:00,433.254
2019-01-09 20:00,2019-01-09 18:00,194.596
2019-01-09 21:00,2019-01-09 19:00,19.033
2019-01-09 22:00,2019-01-09 20:00,0
2019-01-09 23:00,2019-01-09 21:00,0
2019-01-10 00:00,2019-01-09 22:00,0
2019-01-10 01:00,2019-01-09 23:00,0
2019-01-10 02:00,2019-01-10 00:00,0
2019-01-10 03:00,2019-01-10 01:00,0
2019-01-10 04:00,2019-01-10 02:00,0
2019-01-10 05:00,2019-01-10 03:00,0
2019-01-10 06:00,2019-01-10 04:00,0
2019-01-10 07:00,2019-01-10 05:00,0
2019-01-10 08:00,2019-01-10 06:00,42.404
2019-01-10 09:00,2019-01-10 07:00,246.540
2019-01-10 10:00,2019-01-10 08:00,486.988
2019-01-10 11:00,2019-01-10 09:00,710.425
2019-01-10 12:00,2019-01-10 10:00,894.225
2019-01-10 13:00,2019-01-10 11:00,1023.063
2019-01-10 14:00,2019-01-10 12:00,1085.452
2019-01-10 15:00,2019-01-10 13:00,1077.117
2019-01-10 16:00,2019-01-10 14:00,997.920
2019-01-10 17:00,2019-01-10 15:00,854.564
2019-01-10 18:00,2019-01-10 16:00,657.019
2019-01-10 19:00,2019-01-10 17:00,427.892
2019-01-10 20:00,2019-01-10 18:00,187.686
2019-01-10 21:00,2019-01-10 19:00,18.102
2019-01-10 22:00,2019-01-10 20:00,0
2019-01-10 23:00,2019-01-10 21:00,0
2019-01-11 00:00,2019-01-10 22:00,0
2019-01-11 01:00,2019-01-10 23:00,0
2019-01-11 02:00,2019-01-11 00:00,0
2019-01-11 03:00,2019-01-11 01:00,0
2019-01-11 04:00,2019-01-11 02:00,0
2019-01-11 05:00,2019-01-11 03:00,0
2019-01-11 06:00,2019-01-11 04:00,0
2019-01-11 07:00,2019-01-11 05:00,0
2019-01-11 08:00,2019-01-11 06:00,31.712
2019-01-11 09:00,2019-01-11 07:00,185.817
2019-01-11 10:00,2019-01-11 08:00,396.015
2019-01-11 11:00,2019-01-11 09:00,621.199
2019-01-11 12:00,2019-01-11 10:00,817.129
2019-01-11 13:00,2019-01-11 11:00,947.436
2019-01-11 14:00,2019-01-11 12:00,995.346
2019-01-11 15:00,2019-01-11 13:00,966.268
2019-01-11 16:00,2019-01-11 14:00,848.583
2019-01-11 17:00,2019-01-11 15:00,657.515
2019-01-11 18:00,2019-01-11 16:00,465.084
2019-01-11 19:00,2019-01-11 17:00,274.663
2019-01-11 20:00,2019-01-11 18:00,121.944
2019-01-11 21:00,2019-01-11 19:00,13.311
2019-01-11 22:00,2019-01-11 20:00,0
2019-01-11 23:00,2019-01-11 21:00,0
2019-01-12 00:00,2019-01-11 22:00,0
2019-01-12 01:00,2019-01-11 23:00,0
2019-01-12 02:00,2019-01-12 00:00,0
2019-01-12 03:00,2019-01-12 01:00,0
2019-01-12 04:00,2019-01-12 02:00,0
2019-01-12 05:00,2019-01-12 03:00,0
2019-01-12 06:00,2019-01-12 04:00,0
