# Renewables.ninja Weather (Point API) - -3.168, -60.016 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in America/Manaus, swgdn in W/m²
# {"units": {"time": "UTC", "local_time": "America/Manaus", "swgdn": "W/m\u00b2"}, "params": {"local_time": true, "header": true, "lat": "-3.1682608679896154", "lon": "-60.015811407468625", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "var_t2m": false, "var_prectotland": false, "var_precsnoland": false, "var_snomas": false, "var_rhoa": false, "var_swgdn": true, "var_swtdn": false, "var_cldtot": false}}
time,local_time,swgdn
2019-01-01 00:00,2018-12-31 20:00,0
2019-01-01 01:00,2018-12-31 21:00,0
2019-01-01 02:00,2018-12-31 22:00,0
2019-01-01 03:00,2018-12-31 23:00,0
2019-01-01 04:00,2019-01-01 00:00,0
2019-01-01 05:00,2019-01-01 01:00,0
2019-01-01 06:00,2019-01-01 02:00,0
2019-01-01 07:00,2019-01-01 03:00,0
2019-01-01 08:00,2019-01-01 04:00,0
2019-01-01 09:00,2019-01-01 05:00,0.122
2019-01-01 10:00,2019-01-01 06:00,32.716
2019-01-01 11:00,2019-01-01 07:00,130.629
2019-01-01 12:00,2019-01-01 08:00,322.558
2019-01-01 13:00,2019-01-01 09:00,564.681
2019-01-01 14:00,2019-01-01 10:00,710.263
2019-01-01 15:00,2019-01-01 11:00,785.455
2019-01-01 16:00,2019-01-01 12:00,778.777
2019-01-01 17:00,2019-01-01 13:00,701.661
2019-01-01 18:00,2019-01-01 14:00,569.374
2019-01-01 19:00,2019-01-01 15:00,369.030
2019-01-01 20:00,2019-01-01 16:00,190.223
2019-01-01 21:00,2019-01-01 17:00,56.582
2019-01-01 22:00,2019-01-01 18:00,0.241
2019-01-01 23:00,2019-01-01 19:00,0
2019-01-02 00:00,2019-01-01 20:00,0
2019-01-02 01:00,2019-01-01 21:00,0
2019-01-02 02:00,2019-01-01 22:00,0
2019-01-02 03:00,2019-01-01 23:00,0
2019-01-02 04:00,2019-01-02 00:00,0
2019-01-02 05:00,2019-01-02 01:00,0
2019-01-02 06:00,2019-01-02 02:00,0
2019-01-02 07:00,2019-01-02 03:00,0
2019-01-02 08:00,2019-01-02 04:00,0
2019-01-02 09:00,2019-01-02 05:00,0.193
2019-01-02 10:00,2019-01-02 06:00,50.625
2019-01-02 11:00,2019-01-02 07:00,185.374
2019-01-02 12:00,2019-01-02 08:00,359.639
2019-01-02 13:00,2019-01-02 09:00,510.705
2019-01-02 14:00,2019-01-02 10:00,632.673
2019-01-02 15:00,2019-01-02 11:00,724.836
2019-01-02 16:00,2019-01-02 12:00,748.380
2019-01-02 17:00,2019-01-02 13:00,676.479
2019-01-02 18:00,2019-01-02 14:00,550.025
2019-01-02 19:00,2019-01-02 15:00,380.971
2019-01-02 20:00,2019-01-02 16:00,201.328
2019-01-02 21:00,2019-01-02 17:00,51.708
2019-01-02 22:00,2019-01-02 18:00,0.169
2019-01-02 23:00,2019-01-02 19:00,0
2019-01-03 00:00,2019-01-02 20:00,0
2019-01-03 01:00,2019-01-02 21:00,0
2019-01-03 02:00,2019-01-02 22:00,0
2019-01-03 03:00,2019-01-02 23:00,0
2019-01-03 04:00,2019-01-03 00:00,0
2019-01-03 05:00,2019-01-03 01:00,0
2019-01-03 06:00,2019-01-03 02:00,0
2019-01-03 07:00,2019-01-03 03:00,0
2019-01-03 08:00,2019-01-03 04:00,0
2019-01-03 09:00,2019-01-03 05:00,0.116
2019-01-03 10:00,2019-01-03 06:00,38.356
2019-01-03 11:00,2019-01-03 07:00,132.972
2019-01-03 12:00,2019-01-03 08:00,249.840
2019-01-03 13:00,2019-01-03 09:00,346.620
2019-01-03 14:00,2019-01-03 10:00,398.161
2019-01-03 15:00,2019-01-03 11:00,431.531
2019-01-03 16:00,2019-01-03 12:00,460.259
2019-01-03 17:00,2019-01-03 13:00,460.085
2019-01-03 18:00,2019-01-03 14:00,384.701
2019-01-03 19:00,2019-01-03 15:00,285.509
2019-01-03 20:00,2019-01-03 16:00,163.090
2019-01-03 21:00,2019-01-03 17:00,46.643
2019-01-03 22:00,2019-01-03 18:00,0.149
2019-01-03 23:00,2019-01-03 19:00,0
2019-01-04 00:00,2019-01-03 20:00,0
2019-01-04 01:00,2019-01-03 21:00,0
2019-01-04 02:00,2019-01-03 22:00,0
2019-01-04 03:00,2019-01-03 23:00,0
2019-01-04 04:00,2019-01-04 00:00,0
2019-01-04 05:00,2019-01-04 01:00,0
2019-01-04 06:00,2019-01-04 02:00,0
2019-01-04 07:00,2019-01-04 03:00,0
2019-01-04 08:00,2019-01-04 04:00,0
2019-01-04 09:00,2019-01-04 05:00,0.200
2019-01-04 10:00,2019-01-04 06:00,58.995
2019-01-04 11:00,2019-01-04 07:00,219.308
2019-01-04 12:00,2019-01-04 08:00,365.290
2019-01-04 13:00,2019-01-04 09:00,530.585
2019-01-04 14:00,2019-01-04 10:00,634.480
2019-01-04 15:00,2019-01-04 11:00,677.548
2019-01-04 16:00,2019-01-04 12:00,660.587
2019-01-04 17:00,2019-01-04 13:00,595.697
2019-01-04 18:00,2019-01-04 14:00,436.902
2019-01-04 19:00,2019-01-04 15:00,303.197
2019-01-04 20:00,2019-01-04 16:00,161.254
2019-01-04 21:00,2019-01-04 17:00,54.944
2019-01-04 22:00,2019-01-04 18:00,0.165
2019-01-04 23:00,2019-01-04 19:00,0
2019-01-05 00:00,2019-01-04 20:00,0
2019-01-05 01:00,2019-01-04 21:00,0
2019-01-05 02:00,2019-01-04 22:00,0
2019-01-05 03:00,2019-01-04 23:00,0
2019-01-05 04:00,2019-01-05 00:00,0
2019-01-05 05:00,2019-01-05 01:00,0
2019-01-05 06:00,2019-01-05 02:00,0
2019-01-05 07:00,2019-01-05 03:00,0
2019-01-05 08:00,2019-01-05 04:00,0
2019-01-05 09:00,2019-01-05 05:00,0.131
2019-01-05 10:00,2019-01-05 06:00,39.049
2019-01-05 11:00,2019-01-05 07:00,142.761
2019-01-05 12:00,2019-01-05 08:00,271.802
2019-01-05 13:00,2019-01-05 09:00,341.269
2019-01-05 14:00,2019-01-05 10:00,359.702
2019-01-05 15:00,2019-01-05 11:00,405.664
2019-01-05 16:00,2019-01-05 12:00,468.810
2019-01-05 17:00,2019-01-05 13:00,456.225
2019-01-05 18:00,2019-01-05 14:00,368.443
2019-01-05 19:00,2019-01-05 15:00,259.850
2019-01-05 20:00,2019-01-05 16:00,131.791
2019-01-05 21:00,2019-01-05 17:00,36.270
2019-01-05 22:00,2019-01-05 18:00,0.123
2019-01-05 23:00,2019-01-05 19:00,0
2019-01-06 00:00,2019-01-05 20:00,0
2019-01-06 01:00,2019-01-05 21:00,0
2019-01-06 02:00,2019-01-05 22:00,0
2019-01-06 03:00,2019-01-05 23:00,0
